Gas,Source,Time Horizon (years),Value,,,,,,,,,,,,
HCFC-124,Forster/Ramaswamy 2055,20,2070,,,,,,,,,,,,
HCFC-124,Forster/Ramaswamy 2056,100,609,,,,,,,,,,,,
HCFC-124,Forster/Ramaswamy 2057,500,185,,,,,,,,,,,,
HCFC-141b,Forster/Ramaswamy 2058,20,2250,,,,,,,,,,,,
HCFC-141b,Forster/Ramaswamy 2059,100,725,,,,,,,,,,,,
HCFC-141b,Forster/Ramaswamy 2060,500,220,,,,,,,,,,,,
HCFC-142b,Forster/Ramaswamy 2061,20,5490,,,,,,,,,,,,
HCFC-142b,Forster/Ramaswamy 2062,100,2310,,,,,,,,,,,,
HCFC-142b,Forster/Ramaswamy 2063,500,705,,,,,,,,,,,,
HCFC-225ca,Forster/Ramaswamy 2064,20,429,,,,,,,,,,,,
HCFC-225ca,Forster/Ramaswamy 2065,100,122,,,,,,,,,,,,
HCFC-225ca,Forster/Ramaswamy 2066,500,37,,,,,,,,,,,,
HCFC-225cb,Forster/Ramaswamy 2067,20,2030,,,,,,,,,,,,
HCFC-225cb,Forster/Ramaswamy 2068,100,595,,,,,,,,,,,,
HCFC-225cb,Forster/Ramaswamy 2069,500,181,,,,,,,,,,,,
HFC-23,Forster/Ramaswamy 2070,20,12000,,,,,,,,,,,,
HFC-23,Forster/Ramaswamy 2071,100,14800,,,,,,,,,,,,
HFC-23,Forster/Ramaswamy 2072,500,12200,,,,,,,,,,,,
HFC-32,Forster/Ramaswamy 2073,20,2330,,,,,,,,,,,,
HFC-32,Forster/Ramaswamy 2074,100,675,,,,,,,,,,,,
HFC-32,Forster/Ramaswamy 2075,500,205,,,,,,,,,,,,
HFC-125,Forster/Ramaswamy 2076,20,6350,,,,,,,,,,,,
HFC-125,Forster/Ramaswamy 2077,100,3500,,,,,,,,,,,,
HFC-125,Forster/Ramaswamy 2078,500,1100,,,,,,,,,,,,
HFC-134a,Forster/Ramaswamy 2079,20,3830,,,,,,,,,,,,
HFC-134a,Forster/Ramaswamy 2080,100,1430,,,,,,,,,,,,
HFC-134a,Forster/Ramaswamy 2081,500,435,,,,,,,,,,,,
HFC-143a,Forster/Ramaswamy 2082,20,5890,,,,,,,,,,,,
HFC-143a,Forster/Ramaswamy 2083,100,4470,,,,,,,,,,,,
HFC-143a,Forster/Ramaswamy 2084,500,1690,,,,,,,,,,,,
HFC-152a,Forster/Ramaswamy 2085,20,437,,,,,,,,,,,,
HFC-152a,Forster/Ramaswamy 2086,100,124,,,,,,,,,,,,
HFC-152a,Forster/Ramaswamy 2087,500,38,,,,,,,,,,,,
HFC-227ea,Forster/Ramaswamy 2088,20,5310,,,,,,,,,,,,
HFC-227ea,Forster/Ramaswamy 2089,100,3220,,,,,,,,,,,,
HFC-227ea,Forster/Ramaswamy 2090,500,1040,,,,,,,,,,,,
HFC-236fa,Forster/Ramaswamy 2091,20,8100,,,,,,,,,,,,
HFC-236fa,Forster/Ramaswamy 2092,100,9810,,,,,,,,,,,,
HFC-236fa,Forster/Ramaswamy 2093,500,7660,,,,,,,,,,,,
HFC-245fa,Forster/Ramaswamy 2094,20,3380,,,,,,,,,,,,
HFC-245fa,Forster/Ramaswamy 2095,100,1030,,,,,,,,,,,,
HFC-245fa,Forster/Ramaswamy 2096,500,314,,,,,,,,,,,,
HFC-365mfc,Forster/Ramaswamy 2097,20,2520,,,,,,,,,,,,
HFC-365mfc,Forster/Ramaswamy 2098,100,794,,,,,,,,,,,,
HFC-365mfc,Forster/Ramaswamy 2099,500,241,,,,,,,,,,,,
HFC-43-10mee,Forster/Ramaswamy 2100,20,4140,,,,,,,,,,,,
HFC-43-10mee,Forster/Ramaswamy 2101,100,1640,,,,,,,,,,,,
HFC-43-10mee,Forster/Ramaswamy 2102,500,500,,,,,,,,,,,,
SF6,Forster/Ramaswamy 2103,20,16300,,,,,,,,,,,,
SF6,Forster/Ramaswamy 2104,100,22800,,,,,,,,,,,,
SF6,Forster/Ramaswamy 2105,500,32600,,,,,,,,,,,,
NF3,Forster/Ramaswamy 2106,20,12300,,,,,,,,,,,,
