Region,Sector,Product_category,Product_long,Product,Flow_category,Flow_long,Flow,End_use
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Natural gas,Natural gas,NATGAS,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Natural gas,Natural gas,NATGAS,Oil products,Other oil products,ONONSPEC,
albania,Industrial,Natural gas,Natural gas,NATGAS,Energy industry own use and Losses,Energy industry own use,TOTENGY,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Agriculture/forestry,AGRICULT,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Chemical and petrochemical,CHEMICAL,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Construction,CONSTRUC,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Energy industry own use and Losses,Non-specified (energy),ENONSPEC,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Food and tobacco,FOODPRO,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Heat output,Heat output,HEATOUT,High Temperature Heat
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Industry not elsewhere specified,INONSPEC,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Iron and steel,IRONSTL,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Transformation processes,Main activity producer CHP plants,MAINCHP,High Temperature Heat
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Manufacturing,MANUFACT,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Mining and quarrying,MINING,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Non-ferrous metals,NONFERR,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Final consumption,Non-metallic minerals,NONMET,
albania,Industrial,Oil products,Fuel oil,RESFUEL,Transformation processes,BKB/peat briquette plants,TREFINER,High Temperature Heat
albania,Industrial,Oil products,Fuel oil,RESFUEL,Transformation processes,Non-specified (transformation),TNONSPEC,High Temperature Heat
