Model,Scenario,Region,Product,Flow,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
PD22,baseline,Colombia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288,5.5,3.825,1.265
PD22,baseline,Comoros,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Comoros,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Congo,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Congo,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cook Islands,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cook Islands,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Costa Rica,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.608,0.608,0.797,8.997,8.997,9.608,9.608,9.608,9.608,9.608
PD22,baseline,Costa Rica,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,12.1,6.8,4.2,1.1,0.6,0.1,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131,0.131
PD22,baseline,Croatia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Croatia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,19,22,30,36,57,77,115,177,237,309.7,354.9,401.2
PD22,baseline,Cuba,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cuba,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Curaçao,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Curaçao,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cyprus,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Cyprus,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,27,35,52,50,49,51,51,52,51.75,56.896,57.92
PD22,baseline,Czechia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Czechia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,135,133,127,108,138,160,177,215,267,441,635,930,1468,2294,2583,2611,2590,2639.265,2607.205,2528.078
PD22,baseline,Côte d'Ivoire,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Côte d'Ivoire,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Democratic People's Republic of Korea,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Democratic People's Republic of Korea,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Democratic Republic of the Congo,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Democratic Republic of the Congo,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Denmark,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Denmark,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,209,221,240,276,281,281,284,304,291,363,356.326,345.949,377.558,381.998,450.834,460.578,498.403,566.801,612.561,635.754
PD22,baseline,Djibouti,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Djibouti,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Dominica,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Dominica,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Dominican Republic,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.132,6.306,7.549,9.781,13.711,15.704,15.704,15.704,13.806
PD22,baseline,Dominican Republic,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Ecuador,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Ecuador,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.878,27.824,45.523,41.164
PD22,baseline,Egypt,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Egypt,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
PD22,baseline,El Salvador,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,El Salvador,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.523,23.106,32.839,32.984,41.861,33.497,37.313,30.608,32.112
PD22,baseline,Equatorial Guinea,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Equatorial Guinea,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Eritrea,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Eritrea,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Estonia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Estonia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,14,14,13,9,7,10,15,16,20,27,50,45,41.754,38,38.842
PD22,baseline,Eswatini,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Eswatini,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Ethiopia,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Ethiopia,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Falkland Islands (Malvinas),BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Falkland Islands (Malvinas),BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Faroe Islands,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Faroe Islands,BIOGASES,ELMAINE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PD22,baseline,Fiji,BIOGASES,ELAUTOE,TJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
