REGION,VARIABLE,UNIT,VALUE,YEAR
World,Secondary Energy|Liquids,EJ/yr,161.2530089,2010
World,Secondary Energy|Liquids|Biomass,EJ/yr,0.961561055,2010
World,Secondary Energy|Liquids|Coal,EJ/yr,0.98459382,2010
World,Secondary Energy|Liquids|Fossil,EJ/yr,0.98459382,2010
World,Secondary Energy|Liquids|Fossil|w/ CCS,EJ/yr,0,2010
World,Secondary Energy|Liquids|Fossil|w/o CCS,EJ/yr,0.98459382,2010
World,Secondary Energy|Liquids|Gas,EJ/yr,0,2010
World,Secondary Energy|Liquids|Oil,EJ/yr,159.306854,2010
World,Temperature|Exceedance Probability|1.5 degC|MAGICC6,-,0,2010
World,Temperature|Exceedance Probability|2.0 degC|MAGICC6,-,0,2010
World,Temperature|Exceedance Probability|3.0 degC|MAGICC6,-,0,2010
World,Temperature|Exceedance Probability|4.0 degC|MAGICC6,-,0,2010
World,Temperature|Global Mean|MAGICC6|MED,C,0.873970871,2010
World,Temperature|Global Mean|MAGICC6|P5,C,0.809240339,2010
World,Temperature|Global Mean|MAGICC6|P95,C,0.939470519,2010
World,Concentration|CO2|MAGICC6|MED,ppm,419.7089999,2020
World,Emissions|BC,Mt BC/yr,9.005104443,2020
ASIA,Emissions|CH4,Mt CH4/yr,155.3375957,2020
LAM,Emissions|CH4,Mt CH4/yr,45.25695152,2020
MAF,Emissions|CH4,Mt CH4/yr,63.59115263,2020
OECD90,Emissions|CH4,Mt CH4/yr,65.09873992,2020
