GCAM Region,IEA Region,Sector,Metric,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
OECD90 ,US ,Power sector,Nuclear,2535,2535,2535,2535,2535,2535,2535,2535,2546,2500,2453,2407,2372,2326,2279,2244,2221,2198,2174,2151,2128,2093,2070,2046,2011,1988,1953,1930,1895,1872,1849
OECD90 ,US ,Power sector,Hydro,255,255,267,267,279,279,290,302,290,290,290,290,290,290,290,302,302,302,302,302,302,302,302,302,314,314,314,314,314,325,325
OECD90 ,US ,Power sector,Bioenergy,220,220,220,220,232,232,232,244,244,244,244,244,244,244,244,255,255,255,267,267,267,267,279,290,290,302,302,314,314,325,337
OECD90 ,US ,Power sector,Other renewables,186,220,255,290,325,360,395,430,476,523,569,616,662,721,767,814,848,895,942,988,1035,1081,1128,1174,1221,1279,1314,1360,1407,1453,1500
OECD90 ,US ,Other energy sector,Other energy sector,1791,1802,1814,1825,1837,1849,1860,1872,1977,2035,2081,2139,2198,2244,2302,2360,2384,2407,2442,2465,2500,2512,2535,2558,2581,2605,2605,2616,2616,2628,2628
OECD90 ,US ,Other energy sector,  Electricity,581,581,581,581,581,581,581,581,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,604,616,616,616,616,616,616,616
OECD90 ,US ,TFC,Total final consumption,17584,17596,17607,17619,17631,17642,17654,17677,18410,18538,18654,18770,18887,19003,19119,19236,19236,19236,19236,19236,19236,19236,19247,19259,19270,19282,19294,19305,19317,19329,19340
OECD90 ,US ,TFC,Coal,302,279,267,255,232,220,209,197,197,197,197,197,197,197,197,197,186,186,186,186,186,186,186,186,186,186,174,174,174,174,174
OECD90 ,US ,TFC,Oil,8850,8827,8803,8780,8757,8734,8710,8687,8908,8931,8955,8989,9013,9036,9071,9094,9024,8966,8896,8838,8769,8710,8664,8617,8559,8513,8455,8408,8361,8315,8268
OECD90 ,US ,TFC,Natural gas,3733,3768,3814,3849,3896,3930,3977,4023,4361,4407,4465,4512,4570,4617,4663,4721,4745,4768,4791,4814,4838,4849,4861,4884,4896,4919,4919,4931,4942,4954,4966
OECD90 ,US ,TFC,Electricity,3779,3768,3756,3756,3744,3744,3733,3733,3884,3896,3919,3930,3954,3977,3989,4012,4023,4047,4070,4093,4117,4128,4151,4175,4198,4221,4244,4268,4291,4326,4349
OECD90 ,US ,TFC,Heat,69,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,46,46,46,46,46
OECD90 ,US ,TFC,Bioenergy,790,802,825,848,860,883,907,930,953,965,988,1000,1023,1035,1058,1069,1081,1104,1128,1139,1163,1174,1197,1221,1244,1267,1290,1314,1337,1360,1383
OECD90 ,US ,TFC,Other renewables,23,23,23,23,23,23,23,23,23,34,34,34,34,46,46,46,46,46,58,58,69,69,69,81,81,81,81,93,93,104,116
OECD90 ,US ,Industry,Industry,3186,3163,3140,3116,3093,3070,3047,3035,3163,3209,3256,3314,3361,3407,3454,3500,3512,3523,3535,3547,3558,3558,3570,3570,3582,3582,3593,3605,3616,3628,3640
OECD90 ,US ,Industry,Coal,290,267,255,244,220,209,197,186,186,186,186,186,186,186,186,197,186,186,186,186,186,174,174,174,174,174,174,174,174,174,174
OECD90 ,US ,Industry,Oil,383,348,325,302,279,255,232,209,209,209,209,220,220,220,220,232,232,232,232,232,232,232,232,232,232,232,232,232,232,244,244
OECD90 ,US ,Industry,Natural gas,1267,1290,1314,1337,1360,1383,1407,1442,1535,1558,1593,1628,1663,1697,1732,1756,1756,1767,1767,1779,1791,1779,1779,1779,1779,1779,1767,1767,1767,1767,1767
OECD90 ,US ,Industry,Electricity,825,814,802,790,790,779,767,767,802,814,825,837,837,848,860,872,872,872,883,883,883,883,883,895,895,907,907,918,918,930,930
OECD90 ,US ,Industry,Heat,58,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,34,34,34,34,34
