model,scenario,region,variable,value
PD22,baseline,World ,Trees in Croplands|parameter b min,0
PD22,pathway,World ,Trees in Croplands|saturation point,1
PD22,baseline,World ,Trees in Croplands|saturation point,1
PD22,pathway,World ,Agroforestry|Floor,0
PD22,baseline,World ,Agroforestry|Floor,0
PD22,pathway,World ,Agroforestry|Max annual growth,100
PD22,baseline,World ,Agroforestry|Max annual growth,100
PD22,pathway,World ,Agroforestry|parameter a max,0.10618
PD22,baseline,World ,Agroforestry|parameter a max,100
PD22,pathway,World ,Agroforestry|parameter a min,0.10618
PD22,baseline,World ,Agroforestry|parameter a min,0
PD22,pathway,World ,Agroforestry|parameter b max,36
PD22,baseline,World ,Agroforestry|parameter b max,100
PD22,pathway,World ,Agroforestry|parameter b min,40
PD22,baseline,World ,Agroforestry|parameter b min,0
PD22,pathway,World ,Agroforestry|saturation point,1
PD22,baseline,World ,Agroforestry|saturation point,1
PD22,pathway,World ,Enteric Fermentation|Floor,0
PD22,baseline,World ,Enteric Fermentation|Floor,0
PD22,pathway,World ,Enteric Fermentation|Max annual growth,100
PD22,baseline,World ,Enteric Fermentation|Max annual growth,0
PD22,pathway,World ,Enteric Fermentation|parameter a max,0.5
PD22,baseline,World ,Enteric Fermentation|parameter a max,0
PD22,pathway,World ,Enteric Fermentation|parameter a min,0
PD22,baseline,World ,Enteric Fermentation|parameter a min,0
PD22,pathway,World ,Enteric Fermentation|parameter b max,2
PD22,baseline,World ,Enteric Fermentation|parameter b max,100
PD22,pathway,World ,Enteric Fermentation|parameter b min,0
PD22,baseline,World ,Enteric Fermentation|parameter b min,0
PD22,pathway,World ,Enteric Fermentation|saturation point,0.6
PD22,baseline,World ,Enteric Fermentation|saturation point,0
PD22,pathway,World ,Manure left on Pasture|Floor,0
PD22,baseline,World ,Manure left on Pasture|Floor,0
PD22,pathway,World ,Manure left on Pasture|Max annual growth,100
PD22,baseline,World ,Manure left on Pasture|Max annual growth,0
PD22,pathway,World ,Manure left on Pasture|parameter a max,0.5
PD22,baseline,World ,Manure left on Pasture|parameter a max,0
PD22,pathway,World ,Manure left on Pasture|parameter a min,0
PD22,baseline,World ,Manure left on Pasture|parameter a min,0
PD22,pathway,World ,Manure left on Pasture|parameter b max,2
PD22,baseline,World ,Manure left on Pasture|parameter b max,100
PD22,pathway,World ,Manure left on Pasture|parameter b min,0
PD22,baseline,World ,Manure left on Pasture|parameter b min,0
PD22,pathway,World ,Manure left on Pasture|saturation point,0.6
PD22,baseline,World ,Manure left on Pasture|saturation point,0
PD22,pathway,World ,Manure Management|Floor,0
PD22,baseline,World ,Manure Management|Floor,0
PD22,pathway,World ,Manure Management|Max annual growth,100
PD22,baseline,World ,Manure Management|Max annual growth,0
PD22,pathway,World ,Manure Management|parameter a max,0.5
PD22,baseline,World ,Manure Management|parameter a max,0
PD22,pathway,World ,Manure Management|parameter a min,0
PD22,baseline,World ,Manure Management|parameter a min,0
PD22,pathway,World ,Manure Management|parameter b max,2
PD22,baseline,World ,Manure Management|parameter b max,100
PD22,pathway,World ,Manure Management|parameter b min,0
PD22,baseline,World ,Manure Management|parameter b min,0
PD22,pathway,World ,Manure Management|saturation point,0.6
PD22,baseline,World ,Manure Management|saturation point,0
PD22,pathway,World ,Manure applied to Soils|Floor,0
PD22,baseline,World ,Manure applied to Soils|Floor,0
PD22,pathway,World ,Manure applied to Soils|Max annual growth,100
PD22,baseline,World ,Manure applied to Soils|Max annual growth,0
PD22,pathway,World ,Manure applied to Soils|parameter a max,0.5
PD22,baseline,World ,Manure applied to Soils|parameter a max,0
PD22,pathway,World ,Manure applied to Soils|parameter a min,0
PD22,baseline,World ,Manure applied to Soils|parameter a min,0
PD22,pathway,World ,Manure applied to Soils|parameter b max,2
PD22,baseline,World ,Manure applied to Soils|parameter b max,100
PD22,pathway,World ,Manure applied to Soils|parameter b min,0
PD22,baseline,World ,Manure applied to Soils|parameter b min,0
PD22,pathway,World ,Manure applied to Soils|saturation point,0.6
PD22,baseline,World ,Manure applied to Soils|saturation point,0
