Product,Flow,Sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency
BIODIESEL,MARBUNK,Transportation,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff
BIODIESEL,MINING,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,NONFERR,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,NONMET,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ONONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,PAPERPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,RAIL,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,RESIDENT,Residential,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,ROAD,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,STATDIFF,Total energy consumption,Total,na,N,na
BIODIESEL,STOCKCHA,Total energy consumption,Total,na,N,na
BIODIESEL,TBLASTFUR,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TES,Total energy consumption,Total,na,N,na
BIODIESEL,TEXTILES,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TFC,Total energy consumption,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TGASWKS,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIODIESEL,TNONSPEC,Industrial,Liquid fuels,na,N,na
BIODIESEL,TOTENGY,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TOTIND,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TOTTRANF,Total energy consumption,Total,na,N,na
BIODIESEL,TOTTRANS,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TRANSEQ,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,TRNONSPE,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,WOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIODIESEL,WORLDAV,Transportation,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff
BIODIESEL,WORLDMAR,Transportation,Liquid fuels,hydrogen ef ratio,N,biofuels_waste addtl eff
BIOGASES,AGRICULT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,AUTOCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,AUTOELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,AUTOHEAT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,COMMPUB,Commercial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,CONSTRUC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,DISTLOSS,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,EBIOGAS,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIOGASES,EGASWKS,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIOGASES,ELAUTOC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ELAUTOE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ELMAINC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ELMAINE,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ELOUTPUT,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ENONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,EPOWERPLT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,EREFINER,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIOGASES,EXPORTS,Total energy consumption,Total,na,N,na
BIOGASES,FOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,HEATOUT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,HEAUTOC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,HEAUTOH,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,HEMAINC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,HEMAINH,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,IMPORTS,Total energy consumption,Total,na,N,na
BIOGASES,INDPROD,Total energy consumption,Total,na,N,na
BIOGASES,INONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,IRONSTL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MACHINE,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MAINCHP,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MAINELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MAINHEAT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MANUFACT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,MINING,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,NONFERR,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,NONMET,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ONONSPEC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,PAPERPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,PIPELINE,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,RESIDENT,Residential,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,ROAD,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,STATDIFF,Total energy consumption,Total,na,N,na
BIOGASES,STOCKCHA,Total energy consumption,Total,na,N,na
BIOGASES,TBLENDGAS,Industrial,Natural gas,natural gas ef ratio,Y,na
BIOGASES,TES,Total energy consumption,Total,na,N,na
BIOGASES,TEXTILES,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,TFC,Total energy consumption,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,TGASWKS,Industrial,Liquid fuels,biofuels_waste ef ratio,Y,na
BIOGASES,TOTENGY,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,TOTIND,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,TOTTRANF,Total energy consumption,Total,na,N,na
BIOGASES,TOTTRANS,Transportation,Liquid fuels,oil ef ratio,N,oil addtl eff
BIOGASES,TRANSEQ,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,TRNONSPE,Transportation,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASES,WOODPRO,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,AGRICULT,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,AUTOELEC,Electric Power,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,CHEMICAL,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,COMMPUB,Commercial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
BIOGASOL,CONSTRUC,Industrial,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff
