Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
GBR,23091100.3684398,,,,,,,,,,,,,,,,,,22521839.1439058,,,,,22303262.4588872,,,,,22135236.5160747,,,,,,,,,,21930730.9168185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21930730.9168185
GEO,2248928.88814335,,,,,,,,,,,,,,,,,,2301029.00325031,,,,,2282093.14027732,,,,,2261413.82377508,,,,,,,,,,2210674.96147348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2210674.96147348
GHA,4929998.97161187,,,,,,,,,,,,,,,,,,8565492.37159475,,,,,9554825.65059261,,,,,10549746.0371154,,,,,,,,,,12358389.813086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12358389.813086
GIN,8808843.60753561,,,,,,,,,,,,,,,,,,16068773.8005775,,,,,18019045.4882808,,,,,19973784.7271906,,,,,,,,,,23506297.5434407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23506297.5434407
GMB,800781.818158048,,,,,,,,,,,,,,,,,,749219.120900596,,,,,720397.243774238,,,,,692638.485641793,,,,,,,,,,636219.04192533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,636219.04192533
GRC,5860656.94349156,,,,,,,,,,,,,,,,,,6198401.97408507,,,,,6208009.70401726,,,,,6213681.19033852,,,,,,,,,,6227868.46523549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6227868.46523549
GTM,7595148.61729685,,,,,,,,,,,,,,,,,,9224493.2978915,,,,,9617550.52937939,,,,,10012801.9431986,,,,,,,,,,10780009.381059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10780009.381059
GUY,1634884.89994151,,,,,,,,,,,,,,,,,,1425935.61407894,,,,,1319998.23795184,,,,,1202187.82939352,,,,,,,,,,929804.67118069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929804.67118069
HKG,5933.03839959367,,,,,,,,,,,,,,,,,,6423.57556014404,,,,,6517.77038314327,,,,,6597.57599099962,,,,,,,,,,6734.21462939009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6734.21462939009
HND,5722010.8717533,,,,,,,,,,,,,,,,,,6554854.34835918,,,,,6674825.31760141,,,,,6764270.29871754,,,,,,,,,,6815066.184203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6815066.184203
HRV,1935869.7577239,,,,,,,,,,,,,,,,,,1890293.19815613,,,,,1859510.89516775,,,,,1831106.62818891,,,,,,,,,,1782005.64201216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1782005.64201216
HTI,2642660.22073988,,,,,,,,,,,,,,,,,,2911516.13059829,,,,,2961320.69251075,,,,,3015411.27647597,,,,,,,,,,3125066.59974969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125066.59974969
HUN,4892557.61870991,,,,,,,,,,,,,,,,,,4988984.67977284,,,,,4998595.23781832,,,,,5007582.79943736,,,,,,,,,,5038578.25897169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5038578.25897169
IDN,137640740.905111,,,,,,,,,,,,,,,,,,139967864.711079,,,,,137298918.957191,,,,,133812706.625124,,,,,,,,,,124780549.730232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124780549.730232
IND,694670884.79719,,,,,,,,,,,,,,,,,,715736568.093912,,,,,714957869.291204,,,,,713946523.930594,,,,,,,,,,710918840.672044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710918840.672044
IRL,9595824.7171376,,,,,,,,,,,,,,,,,,8776380.48775677,,,,,8582983.57141103,,,,,8409380.13193972,,,,,,,,,,8121698.96505054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8121698.96505054
IRN,35477462.6903666,,,,,,,,,,,,,,,,,,38410408.3163313,,,,,39735171.919247,,,,,40902713.2282786,,,,,,,,,,41588638.2714057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41588638.2714057
IRQ,7657395.25344763,,,,,,,,,,,,,,,,,,8094620.4383982,,,,,8098785.0920167,,,,,8052731.01216137,,,,,,,,,,7907938.98465811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7907938.98465811
ISR,2108731.73410459,,,,,,,,,,,,,,,,,,1723590.58386791,,,,,1607861.50567051,,,,,1494245.56751997,,,,,,,,,,1272081.0156159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272081.0156159
ITA,25476383.8285709,,,,,,,,,,,,,,,,,,25099292.4719169,,,,,24554788.1843186,,,,,23973536.1147211,,,,,,,,,,22795859.4368831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22795859.4368831
JAM,689199.641819215,,,,,,,,,,,,,,,,,,672256.048768144,,,,,654212.871506054,,,,,633840.595575888,,,,,,,,,,585499.319280571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585499.319280571
JOR,854687.464676032,,,,,,,,,,,,,,,,,,907027.2953718,,,,,910904.374188343,,,,,914002.903512755,,,,,,,,,,918628.119570429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918628.119570429
JPN,23699974.5335568,,,,,,,,,,,,,,,,,,22825936.7401471,,,,,22167210.0707916,,,,,21490182.6004717,,,,,,,,,,20212093.4229379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20212093.4229379
