iso,Subvector,Metric,Model,Scenario,Region,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
GRC,Biochar,Max extent,PD21,pathway,Greece,Tg dm /yr,0.4731,NA,NA,NA,NA,100
GRL,Biochar,Avg mitigation potential flux,PD21,pathway,Greenland (Denmark),Mt CO2/Tg dm/yr,NA,NA,NA,NA,NA,100
GRL,Biochar,Max extent,PD21,pathway,Greenland (Denmark),Tg dm /yr,NA,NA,NA,NA,NA,100
GLP,Biochar,Avg mitigation potential flux,PD21,pathway,Guadeloupe,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GLP,Biochar,Max extent,PD21,pathway,Guadeloupe,Tg dm /yr,0.0114,NA,NA,NA,NA,100
GTM,Biochar,Avg mitigation potential flux,PD21,pathway,Guatemala,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GTM,Biochar,Max extent,PD21,pathway,Guatemala,Tg dm /yr,0.9375,NA,NA,NA,NA,100
GIN,Biochar,Avg mitigation potential flux,PD21,pathway,Guinea,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GIN,Biochar,Max extent,PD21,pathway,Guinea,Tg dm /yr,0.5778,NA,NA,NA,NA,100
GNB,Biochar,Avg mitigation potential flux,PD21,pathway,Guinea-Bissau,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GNB,Biochar,Max extent,PD21,pathway,Guinea-Bissau,Tg dm /yr,0.0329,NA,NA,NA,NA,100
GUY,Biochar,Avg mitigation potential flux,PD21,pathway,Guyana,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
GUY,Biochar,Max extent,PD21,pathway,Guyana,Tg dm /yr,0.1781,NA,NA,NA,NA,100
HTI,Biochar,Avg mitigation potential flux,PD21,pathway,Haiti,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HTI,Biochar,Max extent,PD21,pathway,Haiti,Tg dm /yr,0.1192,NA,NA,NA,NA,100
HND,Biochar,Avg mitigation potential flux,PD21,pathway,Honduras,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HND,Biochar,Max extent,PD21,pathway,Honduras,Tg dm /yr,0.2635,NA,NA,NA,NA,100
HUN,Biochar,Avg mitigation potential flux,PD21,pathway,Hungary,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
HUN,Biochar,Max extent,PD21,pathway,Hungary,Tg dm /yr,1.8826,NA,NA,NA,NA,100
ISL,Biochar,Avg mitigation potential flux,PD21,pathway,Iceland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ISL,Biochar,Max extent,PD21,pathway,Iceland,Tg dm /yr,0.0007,NA,NA,NA,NA,100
IND,Biochar,Avg mitigation potential flux,PD21,pathway,India,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IND,Biochar,Max extent,PD21,pathway,India,Tg dm /yr,56.7279,NA,NA,NA,NA,100
IDN,Biochar,Avg mitigation potential flux,PD21,pathway,Indonesia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IDN,Biochar,Max extent,PD21,pathway,Indonesia,Tg dm /yr,21.6291,NA,NA,NA,NA,100
IRN,Biochar,Avg mitigation potential flux,PD21,pathway,Iran,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRN,Biochar,Max extent,PD21,pathway,Iran,Tg dm /yr,3.7027,NA,NA,NA,NA,100
IRQ,Biochar,Avg mitigation potential flux,PD21,pathway,Iraq,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRQ,Biochar,Max extent,PD21,pathway,Iraq,Tg dm /yr,0.5522,NA,NA,NA,NA,100
IRL,Biochar,Avg mitigation potential flux,PD21,pathway,Ireland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRL,Biochar,Max extent,PD21,pathway,Ireland,Tg dm /yr,0.2099,NA,NA,NA,NA,100
ISR,Biochar,Avg mitigation potential flux,PD21,pathway,Israel,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ISR,Biochar,Max extent,PD21,pathway,Israel,Tg dm /yr,0.0669,NA,NA,NA,NA,100
ITA,Biochar,Avg mitigation potential flux,PD21,pathway,Italy,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ITA,Biochar,Max extent,PD21,pathway,Italy,Tg dm /yr,3.1165,NA,NA,NA,NA,100
JAM,Biochar,Avg mitigation potential flux,PD21,pathway,Jamaica,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JAM,Biochar,Max extent,PD21,pathway,Jamaica,Tg dm /yr,0.0222,NA,NA,NA,NA,100
JPN,Biochar,Avg mitigation potential flux,PD21,pathway,Japan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JPN,Biochar,Max extent,PD21,pathway,Japan,Tg dm /yr,1.9586,NA,NA,NA,NA,100
JOR,Biochar,Avg mitigation potential flux,PD21,pathway,Jordan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JOR,Biochar,Max extent,PD21,pathway,Jordan,Tg dm /yr,0.1112,NA,NA,NA,NA,100
KAZ,Biochar,Avg mitigation potential flux,PD21,pathway,Kazakhstan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KAZ,Biochar,Max extent,PD21,pathway,Kazakhstan,Tg dm /yr,2.5358,NA,NA,NA,NA,100
KEN,Biochar,Avg mitigation potential flux,PD21,pathway,Kenya,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KEN,Biochar,Max extent,PD21,pathway,Kenya,Tg dm /yr,0.8118,NA,NA,NA,NA,100
KWT,Biochar,Avg mitigation potential flux,PD21,pathway,Kuwait,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KWT,Biochar,Max extent,PD21,pathway,Kuwait,Tg dm /yr,0.0135,NA,NA,NA,NA,100
KGZ,Biochar,Avg mitigation potential flux,PD21,pathway,Kyrgyzstan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KGZ,Biochar,Max extent,PD21,pathway,Kyrgyzstan,Tg dm /yr,0.2823,NA,NA,NA,NA,100
LAO,Biochar,Avg mitigation potential flux,PD21,pathway,Laos,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LAO,Biochar,Max extent,PD21,pathway,Laos,Tg dm /yr,0.8432,NA,NA,NA,NA,100
LVA,Biochar,Avg mitigation potential flux,PD21,pathway,Latvia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LVA,Biochar,Max extent,PD21,pathway,Latvia,Tg dm /yr,0.2104,NA,NA,NA,NA,100
LBN,Biochar,Avg mitigation potential flux,PD21,pathway,Lebanon,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBN,Biochar,Max extent,PD21,pathway,Lebanon,Tg dm /yr,0.0602,NA,NA,NA,NA,100
LSO,Biochar,Avg mitigation potential flux,PD21,pathway,Lesotho,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LSO,Biochar,Max extent,PD21,pathway,Lesotho,Tg dm /yr,0.0153,NA,NA,NA,NA,100
LBR,Biochar,Avg mitigation potential flux,PD21,pathway,Liberia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBR,Biochar,Max extent,PD21,pathway,Liberia,Tg dm /yr,0.0816,NA,NA,NA,NA,100
LBY,Biochar,Avg mitigation potential flux,PD21,pathway,Libya,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBY,Biochar,Max extent,PD21,pathway,Libya,Tg dm /yr,0.0573,NA,NA,NA,NA,100
LTU,Biochar,Avg mitigation potential flux,PD21,pathway,Lithuania,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LTU,Biochar,Max extent,PD21,pathway,Lithuania,Tg dm /yr,0.4479,NA,NA,NA,NA,100
LUX,Biochar,Avg mitigation potential flux,PD21,pathway,Luxembourg,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LUX,Biochar,Max extent,PD21,pathway,Luxembourg,Tg dm /yr,0.0136,NA,NA,NA,NA,100
MKD,Biochar,Avg mitigation potential flux,PD21,pathway,Macedonia (The Former Yugoslav Republic of Macedonia),Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MKD,Biochar,Max extent,PD21,pathway,Macedonia (The Former Yugoslav Republic of Macedonia),Tg dm /yr,0.0926,NA,NA,NA,NA,100
MDG,Biochar,Avg mitigation potential flux,PD21,pathway,Madagascar,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MDG,Biochar,Max extent,PD21,pathway,Madagascar,Tg dm /yr,0.8654,NA,NA,NA,NA,100
MWI,Biochar,Avg mitigation potential flux,PD21,pathway,Malawi,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MWI,Biochar,Max extent,PD21,pathway,Malawi,Tg dm /yr,0.8958,NA,NA,NA,NA,100
MYS,Biochar,Avg mitigation potential flux,PD21,pathway,Malaysia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MYS,Biochar,Max extent,PD21,pathway,Malaysia,Tg dm /yr,3.0142,NA,NA,NA,NA,100
MLI,Biochar,Avg mitigation potential flux,PD21,pathway,Mali,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MLI,Biochar,Max extent,PD21,pathway,Mali,Tg dm /yr,1.0102,NA,NA,NA,NA,100
MTQ,Biochar,Avg mitigation potential flux,PD21,pathway,Martinique,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MTQ,Biochar,Max extent,PD21,pathway,Martinique,Tg dm /yr,0.0038,NA,NA,NA,NA,100
MRT,Biochar,Avg mitigation potential flux,PD21,pathway,Mauritania,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
MRT,Biochar,Max extent,PD21,pathway,Mauritania,Tg dm /yr,0.0398,NA,NA,NA,NA,100
