Product,Flow,Sector,Subsector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,Hight Temp Heat,Electricity,Hydrogen,Flexible,Non-Energy Use
MUNWASTEN,AUTOHEAT,Industrial,,Total,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
MUNWASTER,AUTOHEAT,Industrial,,Renewables,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
NAPHTHA,AUTOHEAT,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
NATGAS,AUTOHEAT,Industrial,,Natural gas,natural gas ef ratio,N,natural gas addtl eff,y,y,n,n,n,n
NONBIODIES,AUTOHEAT,Industrial,,Liquid fuels,heat ef ratio,N,heat addtl eff,y,y,n,n,n,n
OBIOLIQ,AUTOHEAT,Industrial,,Liquid fuels,biofuels_waste ef ratio,N,biofuels_waste addtl eff,y,y,n,n,n,n
OGASES,AUTOHEAT,Industrial,,Coal,natural gas ef ratio,N,natural gas addtl eff,y,y,n,n,n,n
OILSHALE,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
ONONSPEC,AUTOHEAT,Industrial,,Total,na,N,na,y,y,n,n,n,n
OTHER,AUTOHEAT,Industrial,,Total,na,N,na,y,y,n,n,n,n
OTHKERO,AUTOHEAT,Industrial,,Liquid fuels,oil ef ratio,N,oil addtl eff,y,y,n,n,n,n
OVENCOKE,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
PATFUEL,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
PEAT,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
PEATPROD,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
PETCOKE,AUTOHEAT,Industrial,,Coal,coal ef ratio,N,coal addtl eff,y,y,n,n,n,n
