iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Value 2,Duration 2 (Years),Value 3,Duration 3 (Years),Duration 1 (Years)
IRN,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-M,Iran,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRN,Biochar,Max extent,PD21,pathway,MEA-M,Iran,Tg dm /yr,3.7027,NA,NA,NA,NA,100
IRQ,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-M,Iraq,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRQ,Biochar,Max extent,PD21,pathway,MEA-M,Iraq,Tg dm /yr,0.5522,NA,NA,NA,NA,100
IRL,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Ireland,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
IRL,Biochar,Max extent,PD21,pathway,EU15,Ireland,Tg dm /yr,0.2099,NA,NA,NA,NA,100
ISR,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-H,Israel,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ISR,Biochar,Max extent,PD21,pathway,MEA-H,Israel,Tg dm /yr,0.0669,NA,NA,NA,NA,100
ITA,Biochar,Avg mitigation potential flux,PD21,pathway,EU15,Italy,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
ITA,Biochar,Max extent,PD21,pathway,EU15,Italy,Tg dm /yr,3.1165,NA,NA,NA,NA,100
JAM,Biochar,Avg mitigation potential flux,PD21,pathway,LAM-M,Jamaica,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JAM,Biochar,Max extent,PD21,pathway,LAM-M,Jamaica,Tg dm /yr,0.0222,NA,NA,NA,NA,100
JPN,Biochar,Avg mitigation potential flux,PD21,pathway,JPN,Japan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JPN,Biochar,Max extent,PD21,pathway,JPN,Japan,Tg dm /yr,1.9586,NA,NA,NA,NA,100
JOR,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-M,Jordan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
JOR,Biochar,Max extent,PD21,pathway,MEA-M,Jordan,Tg dm /yr,0.1112,NA,NA,NA,NA,100
KAZ,Biochar,Avg mitigation potential flux,PD21,pathway,CAS,Kazakhstan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KAZ,Biochar,Max extent,PD21,pathway,CAS,Kazakhstan,Tg dm /yr,2.5358,NA,NA,NA,NA,100
KEN,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Kenya,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KEN,Biochar,Max extent,PD21,pathway,SSA-L,Kenya,Tg dm /yr,0.8118,NA,NA,NA,NA,100
KWT,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-H,Kuwait,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KWT,Biochar,Max extent,PD21,pathway,MEA-H,Kuwait,Tg dm /yr,0.0135,NA,NA,NA,NA,100
KGZ,Biochar,Avg mitigation potential flux,PD21,pathway,CAS,Kyrgyzstan,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
KGZ,Biochar,Max extent,PD21,pathway,CAS,Kyrgyzstan,Tg dm /yr,0.2823,NA,NA,NA,NA,100
LAO,Biochar,Avg mitigation potential flux,PD21,pathway,OAS-CPA,Laos,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LAO,Biochar,Max extent,PD21,pathway,OAS-CPA,Laos,Tg dm /yr,0.8432,NA,NA,NA,NA,100
LVA,Biochar,Avg mitigation potential flux,PD21,pathway,EU12-M,Latvia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LVA,Biochar,Max extent,PD21,pathway,EU12-M,Latvia,Tg dm /yr,0.2104,NA,NA,NA,NA,100
LBN,Biochar,Avg mitigation potential flux,PD21,pathway,MEA-M,Lebanon,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBN,Biochar,Max extent,PD21,pathway,MEA-M,Lebanon,Tg dm /yr,0.0602,NA,NA,NA,NA,100
LSO,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Lesotho,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LSO,Biochar,Max extent,PD21,pathway,SSA-L,Lesotho,Tg dm /yr,0.0153,NA,NA,NA,NA,100
LBR,Biochar,Avg mitigation potential flux,PD21,pathway,SSA-L,Liberia,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBR,Biochar,Max extent,PD21,pathway,SSA-L,Liberia,Tg dm /yr,0.0816,NA,NA,NA,NA,100
LBY,Biochar,Avg mitigation potential flux,PD21,pathway,NAF,Libya,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
LBY,Biochar,Max extent,PD21,pathway,NAF,Libya,Tg dm /yr,0.0573,NA,NA,NA,NA,100
LTU,Biochar,Avg mitigation potential flux,PD21,pathway,EU12-M,Lithuania,Mt CO2/Tg dm/yr,0.1823,NA,NA,NA,NA,100
