iso,Subvector,Metric,Model,Scenario,Region,Country,Unit,Value 1,Duration 1 (Years),Value 2,Duration 2 (Years),Value 3,Duration 3 (Years)
TKM,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,CAS,Turkmenistan,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
DZA,Cropland Soil Health,Max extent,PD22,Pathway,NAF,Algeria,Mha,10.2690,100,NA,NA,NA,NA
UGA,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,SSA-L,Uganda,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
TZA,Biochar,Max extent,PD22,Pathway,SSA-L,Tanzania,Mha,10.2446,100,NA,NA,NA,NA
UKR,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,EEU-FSU,Ukraine,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
PHL,Biochar,Max extent,PD22,Pathway,OAS-L,Philippines,Mha,10.2367,100,NA,NA,NA,NA
ARE,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,MEA-H,United Arab Emirates,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
BLR,Agroforestry,Max extent,PD22,Pathway,EEU-FSU,Belarus,Mha,10.1636,100,NA,NA,NA,NA
GBR,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,EU15,United Kingdom,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
KGZ,Agroforestry,Max extent,PD22,Pathway,CAS,Kyrgyzstan,Mha,9.8601,100,NA,NA,NA,NA
USA,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,USA,United States (except Alaska),tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
MRT,Agroforestry,Max extent,PD22,Pathway,SSA-L,Mauritania,Mha,9.7304,100,NA,NA,NA,NA
URY,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,LAM-M,Uruguay,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
COD,Biochar,Max extent,PD22,Pathway,SSA-L,Democratic Republic of the Congo (DRC),Mha,9.5177,100,NA,NA,NA,NA
UZB,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,CAS,Uzbekistan,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
MMR,Cropland Soil Health,Max extent,PD22,Pathway,OAS-L,Myanmar,Mha,9.4107,100,NA,NA,NA,NA
VUT,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,OAS-L,Vanuatu,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
KEN,Cropland Soil Health,Max extent,PD22,Pathway,SSA-L,Kenya,Mha,9.2176,100,NA,NA,NA,NA
VEN,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,LAM-M,Venezuela,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
FRA,Optimal Intensity,Max extent,PD22,Pathway,EU15,France (except French Guiana),Mha,9.1995,100,NA,NA,NA,NA
VNM,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,OAS-CPA,Vietnam,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
VNM,Agroforestry,Max extent,PD22,Pathway,OAS-CPA,Vietnam,Mha,9.1926,100,NA,NA,NA,NA
ESH,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,NAF,Western Sahara,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
BGD,Biochar,Max extent,PD22,Pathway,OAS-L,Bangladesh,Mha,9.1648,100,NA,NA,NA,NA
YEM,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,MEA-M,Yemen,tCO2e/ha/yr,14.6667,15,25.6667,25,0,60
CIV,Agroforestry,Max extent,PD22,Pathway,SSA-L,Cote d'Ivoire,Mha,9.1260,100,NA,NA,NA,NA
ZMB,Coastal Restoration,Avg mitigation potential flux,PD22,Pathway,SSA-L,Zambia,tCO2e/ha/yr,0.0000,100,NA,NA,NA,NA
RUS,Peat Restoration,Max extent,PD22,Pathway,RUS,Russia,Mha,9.0600,100,NA,NA,NA,NA
