Variable,Unit,Model,Year,Value
F-gases,Mt CO2e,Baseline,2098,"2,269"
F-gases,Mt CO2e,Baseline,2099,"2,285"
F-gases,Mt CO2e,Baseline,2100,"2,300"
F-gases,Mt CO2e,Pathway,2020,926
F-gases,Mt CO2e,Pathway,2021,942
F-gases,Mt CO2e,Pathway,2022,958
F-gases,Mt CO2e,Pathway,2023,974
F-gases,Mt CO2e,Pathway,2024,989
F-gases,Mt CO2e,Pathway,2025,"1,005"
F-gases,Mt CO2e,Pathway,2026,"1,021"
F-gases,Mt CO2e,Pathway,2027,"1,037"
F-gases,Mt CO2e,Pathway,2028,"1,052"
F-gases,Mt CO2e,Pathway,2029,"1,068"
F-gases,Mt CO2e,Pathway,2030,"1,084"
F-gases,Mt CO2e,Pathway,2031,"1,100"
F-gases,Mt CO2e,Pathway,2032,"1,116"
F-gases,Mt CO2e,Pathway,2033,"1,132"
F-gases,Mt CO2e,Pathway,2034,"1,148"
F-gases,Mt CO2e,Pathway,2035,"1,165"
F-gases,Mt CO2e,Pathway,2036,"1,181"
F-gases,Mt CO2e,Pathway,2037,"1,197"
F-gases,Mt CO2e,Pathway,2038,"1,213"
F-gases,Mt CO2e,Pathway,2039,"1,229"
F-gases,Mt CO2e,Pathway,2040,"1,245"
F-gases,Mt CO2e,Pathway,2041,"1,262"
F-gases,Mt CO2e,Pathway,2042,"1,280"
F-gases,Mt CO2e,Pathway,2043,"1,297"
F-gases,Mt CO2e,Pathway,2044,"1,314"
F-gases,Mt CO2e,Pathway,2045,"1,331"
F-gases,Mt CO2e,Pathway,2046,"1,349"
F-gases,Mt CO2e,Pathway,2047,"1,366"
F-gases,Mt CO2e,Pathway,2048,"1,383"
F-gases,Mt CO2e,Pathway,2049,"1,400"
F-gases,Mt CO2e,Pathway,2050,"1,418"
F-gases,Mt CO2e,Pathway,2051,"1,430"
F-gases,Mt CO2e,Pathway,2052,"1,442"
F-gases,Mt CO2e,Pathway,2053,"1,454"
F-gases,Mt CO2e,Pathway,2054,"1,466"
F-gases,Mt CO2e,Pathway,2055,"1,479"
F-gases,Mt CO2e,Pathway,2056,"1,491"
F-gases,Mt CO2e,Pathway,2057,"1,503"
F-gases,Mt CO2e,Pathway,2058,"1,515"
F-gases,Mt CO2e,Pathway,2059,"1,527"
F-gases,Mt CO2e,Pathway,2060,"1,540"
F-gases,Mt CO2e,Pathway,2061,"1,564"
F-gases,Mt CO2e,Pathway,2062,"1,588"
F-gases,Mt CO2e,Pathway,2063,"1,612"
F-gases,Mt CO2e,Pathway,2064,"1,636"
F-gases,Mt CO2e,Pathway,2065,"1,660"
F-gases,Mt CO2e,Pathway,2066,"1,684"
F-gases,Mt CO2e,Pathway,2067,"1,708"
F-gases,Mt CO2e,Pathway,2068,"1,732"
F-gases,Mt CO2e,Pathway,2069,"1,756"
F-gases,Mt CO2e,Pathway,2070,"1,780"
F-gases,Mt CO2e,Pathway,2071,"1,800"
F-gases,Mt CO2e,Pathway,2072,"1,819"
F-gases,Mt CO2e,Pathway,2073,"1,838"
F-gases,Mt CO2e,Pathway,2074,"1,857"
F-gases,Mt CO2e,Pathway,2075,"1,876"
F-gases,Mt CO2e,Pathway,2076,"1,895"
F-gases,Mt CO2e,Pathway,2077,"1,915"
F-gases,Mt CO2e,Pathway,2078,"1,934"
F-gases,Mt CO2e,Pathway,2079,"1,953"
F-gases,Mt CO2e,Pathway,2080,"1,972"
F-gases,Mt CO2e,Pathway,2081,"1,990"
F-gases,Mt CO2e,Pathway,2082,"2,007"
F-gases,Mt CO2e,Pathway,2083,"2,024"
F-gases,Mt CO2e,Pathway,2084,"2,042"
F-gases,Mt CO2e,Pathway,2085,"2,059"
F-gases,Mt CO2e,Pathway,2086,"2,077"
F-gases,Mt CO2e,Pathway,2087,"2,094"
F-gases,Mt CO2e,Pathway,2088,"2,111"
F-gases,Mt CO2e,Pathway,2089,"2,129"
F-gases,Mt CO2e,Pathway,2090,"2,146"
F-gases,Mt CO2e,Pathway,2091,"2,162"
F-gases,Mt CO2e,Pathway,2092,"2,177"
F-gases,Mt CO2e,Pathway,2093,"2,192"
F-gases,Mt CO2e,Pathway,2094,"2,208"
F-gases,Mt CO2e,Pathway,2095,"2,223"
F-gases,Mt CO2e,Pathway,2096,"2,238"
F-gases,Mt CO2e,Pathway,2097,"2,254"
F-gases,Mt CO2e,Pathway,2098,"2,269"
F-gases,Mt CO2e,Pathway,2099,"2,285"
F-gases,Mt CO2e,Pathway,2100,"2,300"
N2O,Mt CO2e,Pathway,2020,"4,668"
N2O,Mt CO2e,Pathway,2021,"4,689"
N2O,Mt CO2e,Pathway,2022,"4,707"
N2O,Mt CO2e,Pathway,2023,"4,723"
N2O,Mt CO2e,Pathway,2024,"4,738"
N2O,Mt CO2e,Pathway,2025,"4,751"
N2O,Mt CO2e,Pathway,2026,"4,763"
N2O,Mt CO2e,Pathway,2027,"4,774"
N2O,Mt CO2e,Pathway,2028,"4,784"
N2O,Mt CO2e,Pathway,2029,"4,793"
N2O,Mt CO2e,Pathway,2030,"4,802"
N2O,Mt CO2e,Pathway,2031,"4,802"
N2O,Mt CO2e,Pathway,2032,"4,801"
N2O,Mt CO2e,Pathway,2033,"4,800"
N2O,Mt CO2e,Pathway,2034,"4,799"
N2O,Mt CO2e,Pathway,2035,"4,797"
N2O,Mt CO2e,Pathway,2036,"4,796"
N2O,Mt CO2e,Pathway,2037,"4,793"
N2O,Mt CO2e,Pathway,2038,"4,791"
N2O,Mt CO2e,Pathway,2039,"4,788"
N2O,Mt CO2e,Pathway,2040,"4,784"
N2O,Mt CO2e,Pathway,2041,"4,774"
N2O,Mt CO2e,Pathway,2042,"4,767"
N2O,Mt CO2e,Pathway,2043,"4,758"
N2O,Mt CO2e,Pathway,2044,"4,749"
N2O,Mt CO2e,Pathway,2045,"4,738"
N2O,Mt CO2e,Pathway,2046,"4,725"
N2O,Mt CO2e,Pathway,2047,"4,712"
N2O,Mt CO2e,Pathway,2048,"4,697"
N2O,Mt CO2e,Pathway,2049,"4,681"
N2O,Mt CO2e,Pathway,2050,"4,664"
N2O,Mt CO2e,Pathway,2051,"4,645"
N2O,Mt CO2e,Pathway,2052,"4,624"
N2O,Mt CO2e,Pathway,2053,"4,603"
N2O,Mt CO2e,Pathway,2054,"4,580"
N2O,Mt CO2e,Pathway,2055,"4,555"
N2O,Mt CO2e,Pathway,2056,"4,530"
N2O,Mt CO2e,Pathway,2057,"4,502"
N2O,Mt CO2e,Pathway,2058,"4,474"
N2O,Mt CO2e,Pathway,2059,"4,444"
N2O,Mt CO2e,Pathway,2060,"4,417"
N2O,Mt CO2e,Pathway,2061,"4,388"
N2O,Mt CO2e,Pathway,2062,"4,359"
N2O,Mt CO2e,Pathway,2063,"4,329"
N2O,Mt CO2e,Pathway,2064,"4,298"
N2O,Mt CO2e,Pathway,2065,"4,266"
N2O,Mt CO2e,Pathway,2066,"4,235"
N2O,Mt CO2e,Pathway,2067,"4,202"
N2O,Mt CO2e,Pathway,2068,"4,170"
N2O,Mt CO2e,Pathway,2069,"4,137"
N2O,Mt CO2e,Pathway,2070,"4,104"
N2O,Mt CO2e,Pathway,2071,"4,070"
N2O,Mt CO2e,Pathway,2072,"4,040"
N2O,Mt CO2e,Pathway,2073,"4,021"
N2O,Mt CO2e,Pathway,2074,"4,003"
N2O,Mt CO2e,Pathway,2075,"3,985"
N2O,Mt CO2e,Pathway,2076,"3,967"
N2O,Mt CO2e,Pathway,2077,"3,949"
N2O,Mt CO2e,Pathway,2078,"3,932"
N2O,Mt CO2e,Pathway,2079,"3,916"
N2O,Mt CO2e,Pathway,2080,"3,900"
N2O,Mt CO2e,Pathway,2081,"3,885"
N2O,Mt CO2e,Pathway,2082,"3,871"
N2O,Mt CO2e,Pathway,2083,"3,858"
N2O,Mt CO2e,Pathway,2084,"3,845"
N2O,Mt CO2e,Pathway,2085,"3,834"
N2O,Mt CO2e,Pathway,2086,"3,823"
N2O,Mt CO2e,Pathway,2087,"3,814"
N2O,Mt CO2e,Pathway,2088,"3,806"
N2O,Mt CO2e,Pathway,2089,"3,799"
N2O,Mt CO2e,Pathway,2090,"3,793"
N2O,Mt CO2e,Pathway,2091,"3,788"
N2O,Mt CO2e,Pathway,2092,"3,785"
N2O,Mt CO2e,Pathway,2093,"3,783"
N2O,Mt CO2e,Pathway,2094,"3,782"
N2O,Mt CO2e,Pathway,2095,"3,783"
N2O,Mt CO2e,Pathway,2096,"3,785"
N2O,Mt CO2e,Pathway,2097,"3,788"
N2O,Mt CO2e,Pathway,2098,"3,792"
N2O,Mt CO2e,Pathway,2099,"3,798"
N2O,Mt CO2e,Pathway,2100,"3,805"
N2O ,Mt CO2e,Baseline,2020,"4,766"
N2O ,Mt CO2e,Baseline,2021,"4,806"
N2O ,Mt CO2e,Baseline,2022,"4,845"
N2O ,Mt CO2e,Baseline,2023,"4,885"
N2O ,Mt CO2e,Baseline,2024,"4,924"
N2O ,Mt CO2e,Baseline,2025,"4,964"
N2O ,Mt CO2e,Baseline,2026,"5,003"
N2O ,Mt CO2e,Baseline,2027,"5,043"
N2O ,Mt CO2e,Baseline,2028,"5,083"
N2O ,Mt CO2e,Baseline,2029,"5,122"
N2O ,Mt CO2e,Baseline,2030,"5,162"
N2O ,Mt CO2e,Baseline,2031,"5,193"
N2O ,Mt CO2e,Baseline,2032,"5,224"
N2O ,Mt CO2e,Baseline,2033,"5,255"
N2O ,Mt CO2e,Baseline,2034,"5,286"
N2O ,Mt CO2e,Baseline,2035,"5,317"
N2O ,Mt CO2e,Baseline,2036,"5,348"
N2O ,Mt CO2e,Baseline,2037,"5,379"
N2O ,Mt CO2e,Baseline,2038,"5,410"
N2O ,Mt CO2e,Baseline,2039,"5,441"
N2O ,Mt CO2e,Baseline,2040,"5,472"
N2O ,Mt CO2e,Baseline,2041,"5,496"
N2O ,Mt CO2e,Baseline,2042,"5,524"
N2O ,Mt CO2e,Baseline,2043,"5,552"
N2O ,Mt CO2e,Baseline,2044,"5,579"
N2O ,Mt CO2e,Baseline,2045,"5,606"
N2O ,Mt CO2e,Baseline,2046,"5,632"
N2O ,Mt CO2e,Baseline,2047,"5,658"
N2O ,Mt CO2e,Baseline,2048,"5,683"
N2O ,Mt CO2e,Baseline,2049,"5,708"
N2O ,Mt CO2e,Baseline,2050,"5,732"
N2O ,Mt CO2e,Baseline,2051,"5,755"
N2O ,Mt CO2e,Baseline,2052,"5,779"
N2O ,Mt CO2e,Baseline,2053,"5,801"
N2O ,Mt CO2e,Baseline,2054,"5,823"
N2O ,Mt CO2e,Baseline,2055,"5,845"
N2O ,Mt CO2e,Baseline,2056,"5,866"
N2O ,Mt CO2e,Baseline,2057,"5,886"
N2O ,Mt CO2e,Baseline,2058,"5,906"
N2O ,Mt CO2e,Baseline,2059,"5,926"
N2O ,Mt CO2e,Baseline,2060,"5,945"
N2O ,Mt CO2e,Baseline,2061,"5,963"
N2O ,Mt CO2e,Baseline,2062,"5,981"
N2O ,Mt CO2e,Baseline,2063,"5,998"
N2O ,Mt CO2e,Baseline,2064,"6,015"
N2O ,Mt CO2e,Baseline,2065,"6,031"
N2O ,Mt CO2e,Baseline,2066,"6,047"
N2O ,Mt CO2e,Baseline,2067,"6,062"
N2O ,Mt CO2e,Baseline,2068,"6,077"
N2O ,Mt CO2e,Baseline,2069,"6,091"
N2O ,Mt CO2e,Baseline,2070,"6,105"
N2O ,Mt CO2e,Baseline,2071,"6,118"
N2O ,Mt CO2e,Baseline,2072,"6,131"
N2O ,Mt CO2e,Baseline,2073,"6,143"
N2O ,Mt CO2e,Baseline,2074,"6,155"
N2O ,Mt CO2e,Baseline,2075,"6,166"
N2O ,Mt CO2e,Baseline,2076,"6,176"
N2O ,Mt CO2e,Baseline,2077,"6,186"
N2O ,Mt CO2e,Baseline,2078,"6,196"
N2O ,Mt CO2e,Baseline,2079,"6,205"
N2O ,Mt CO2e,Baseline,2080,"6,213"
N2O ,Mt CO2e,Baseline,2081,"6,221"
N2O ,Mt CO2e,Baseline,2082,"6,229"
N2O ,Mt CO2e,Baseline,2083,"6,236"
N2O ,Mt CO2e,Baseline,2084,"6,242"
N2O ,Mt CO2e,Baseline,2085,"6,248"
N2O ,Mt CO2e,Baseline,2086,"6,253"
N2O ,Mt CO2e,Baseline,2087,"6,258"
N2O ,Mt CO2e,Baseline,2088,"6,263"
N2O ,Mt CO2e,Baseline,2089,"6,266"
N2O ,Mt CO2e,Baseline,2090,"6,270"
N2O ,Mt CO2e,Baseline,2091,"6,272"
N2O ,Mt CO2e,Baseline,2092,"6,275"
N2O ,Mt CO2e,Baseline,2093,"6,276"
N2O ,Mt CO2e,Baseline,2094,"6,278"
N2O ,Mt CO2e,Baseline,2095,"6,278"
N2O ,Mt CO2e,Baseline,2096,"6,278"
N2O ,Mt CO2e,Baseline,2097,"6,278"
N2O ,Mt CO2e,Baseline,2098,"6,277"
N2O ,Mt CO2e,Baseline,2099,"6,276"
N2O ,Mt CO2e,Baseline,2100,"6,274"
