Source,Unit,Year,Value
IEA WEO,Mt CO2/TWh,2081,0.37
IEA WEO,Mt CO2/TWh,2082,0.37
IEA WEO,Mt CO2/TWh,2083,0.37
IEA WEO,Mt CO2/TWh,2084,0.37
IEA WEO,Mt CO2/TWh,2085,0.37
IEA WEO,Mt CO2/TWh,2086,0.37
IEA WEO,Mt CO2/TWh,2087,0.37
IEA WEO,Mt CO2/TWh,2088,0.37
IEA WEO,Mt CO2/TWh,2089,0.37
IEA WEO,Mt CO2/TWh,2090,0.37
IEA WEO,Mt CO2/TWh,2091,0.37
IEA WEO,Mt CO2/TWh,2092,0.37
IEA WEO,Mt CO2/TWh,2093,0.37
IEA WEO,Mt CO2/TWh,2094,0.37
IEA WEO,Mt CO2/TWh,2095,0.37
IEA WEO,Mt CO2/TWh,2096,0.37
IEA WEO,Mt CO2/TWh,2097,0.37
IEA WEO,Mt CO2/TWh,2098,0.37
IEA WEO,Mt CO2/TWh,2099,0.37
IEA WEO,Mt CO2/TWh,2100,0.37
Oil,Mt CO2/TWh,2010,0.28
Oil,Mt CO2/TWh,2011,0.28
Oil,Mt CO2/TWh,20112,0.28
Oil,Mt CO2/TWh,2013,0.28
Oil,Mt CO2/TWh,2014,0.28
Oil,Mt CO2/TWh,2015,0.28
Oil,Mt CO2/TWh,2016,0.28
Oil,Mt CO2/TWh,2017,0.28
Oil,Mt CO2/TWh,2018,0.28
Oil,Mt CO2/TWh,2019,0.28
Oil,Mt CO2/TWh,2020,0.28
Oil,Mt CO2/TWh,2021,0.28
Oil,Mt CO2/TWh,2022,0.28
Oil,Mt CO2/TWh,2023,0.28
Oil,Mt CO2/TWh,2024,0.28
Oil,Mt CO2/TWh,2025,0.28
Oil,Mt CO2/TWh,2026,0.28
Oil,Mt CO2/TWh,2027,0.28
Oil,Mt CO2/TWh,2028,0.28
Oil,Mt CO2/TWh,2029,0.28
Oil,Mt CO2/TWh,2030,0.28
Oil,Mt CO2/TWh,2031,0.28
Oil,Mt CO2/TWh,2032,0.28
Oil,Mt CO2/TWh,2033,0.28
Oil,Mt CO2/TWh,2034,0.28
Oil,Mt CO2/TWh,2035,0.28
Oil,Mt CO2/TWh,2036,0.28
Oil,Mt CO2/TWh,2037,0.28
Oil,Mt CO2/TWh,2038,0.28
Oil,Mt CO2/TWh,2039,0.28
Oil,Mt CO2/TWh,2040,0.28
Oil,Mt CO2/TWh,2041,0.28
Oil,Mt CO2/TWh,2042,0.28
Oil,Mt CO2/TWh,2043,0.28
Oil,Mt CO2/TWh,2044,0.28
Oil,Mt CO2/TWh,2045,0.28
Oil,Mt CO2/TWh,2046,0.28
Oil,Mt CO2/TWh,2047,0.28
Oil,Mt CO2/TWh,2048,0.28
Oil,Mt CO2/TWh,2049,0.28
Oil,Mt CO2/TWh,2050,0.28
Oil,Mt CO2/TWh,2051,0.28
Oil,Mt CO2/TWh,2052,0.28
Oil,Mt CO2/TWh,2053,0.28
Oil,Mt CO2/TWh,2054,0.28
Oil,Mt CO2/TWh,2055,0.28
Oil,Mt CO2/TWh,2056,0.28
Oil,Mt CO2/TWh,2057,0.28
Oil,Mt CO2/TWh,2058,0.28
Oil,Mt CO2/TWh,2059,0.28
Oil,Mt CO2/TWh,2060,0.28
Oil,Mt CO2/TWh,2061,0.28
Oil,Mt CO2/TWh,2062,0.28
Oil,Mt CO2/TWh,2063,0.28
Oil,Mt CO2/TWh,2064,0.28
Oil,Mt CO2/TWh,2065,0.28
Oil,Mt CO2/TWh,2066,0.28
Oil,Mt CO2/TWh,2067,0.28
Oil,Mt CO2/TWh,2068,0.28
Oil,Mt CO2/TWh,2069,0.28
Oil,Mt CO2/TWh,2070,0.28
Oil,Mt CO2/TWh,2071,0.28
Oil,Mt CO2/TWh,2072,0.28
Oil,Mt CO2/TWh,2073,0.28
Oil,Mt CO2/TWh,2074,0.28
Oil,Mt CO2/TWh,2075,0.28
Oil,Mt CO2/TWh,2076,0.28
Oil,Mt CO2/TWh,2077,0.28
Oil,Mt CO2/TWh,2078,0.28
Oil,Mt CO2/TWh,2079,0.28
Oil,Mt CO2/TWh,2080,0.28
Oil,Mt CO2/TWh,2081,0.28
Oil,Mt CO2/TWh,2082,0.28
Oil,Mt CO2/TWh,2083,0.28
Oil,Mt CO2/TWh,2084,0.28
Oil,Mt CO2/TWh,2085,0.28
Oil,Mt CO2/TWh,2086,0.28
Oil,Mt CO2/TWh,2087,0.28
Oil,Mt CO2/TWh,2088,0.28
Oil,Mt CO2/TWh,2089,0.28
Oil,Mt CO2/TWh,2090,0.28
Oil,Mt CO2/TWh,2091,0.28
Oil,Mt CO2/TWh,2092,0.28
Oil,Mt CO2/TWh,2093,0.28
Oil,Mt CO2/TWh,2094,0.28
Oil,Mt CO2/TWh,2095,0.28
Oil,Mt CO2/TWh,2096,0.28
Oil,Mt CO2/TWh,2097,0.28
Oil,Mt CO2/TWh,2098,0.28
Oil,Mt CO2/TWh,2099,0.28
Oil,Mt CO2/TWh,2100,0.28
