product_short,flow_short,sector,EIA Product,WWS EF Product,WWS Upstream Product,WWS Addtl Efficiency,Low Temp Heat,High Temp Heat,hydrogen,flexible,nonenergy
HHEATNS,AUTOCHP,Industrial,Total,heat ef ratio,N,heat addtl eff,Y,N,N,N,N
ANTCOAL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIODIESEL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASES,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BIOGASOL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITCOAL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BITUMEN,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BKB,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
BLFURGS,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COALTAR,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKCOAL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
COKEOVGS,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
CRUDEOIL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ELECTR,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GASWKSGS,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
GEOTHERM,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
HYDRO,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
INDWASTE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LIGNITE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
LPG,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTEN,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
MUNWASTER,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NATGAS,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NGL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIODIES,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NONBIOGASO,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
NUCLEAR,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OBIOLIQ,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OFFSHORE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OGASES,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OILSHALE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONONSPEC,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ONSHORE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHER,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OTHKERO,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
OVENCOKE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PEAT,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PETCOKE,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
PRIMSBIO,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
REFINGAS,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
RESFUEL,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
ROOFTOP,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
SOLARPV,AUTOELEC,Electric Power,Total,electricity ef ratio,N,electricity addtl eff,N,N,N,N,N
