Country,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Micronesia,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,F-gases,MtCO₂e,0.12,0.12,0.13,0.14,0.14,0.14,0.14,0.15,0.14,0.13,0.11,0.1,0.09,0.08,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.01,0,0,0,0
Mongolia,F-gases,MtCO₂e,0.22,0.18,0.15,0.13,0.12,0.1,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02
Montenegro,F-gases,MtCO₂e,0.28,0.28,0.27,0.32,0.38,0.43,0.49,0.54,0.68,0.85,1.01,1.18,1.34,1.52,1.7,1.68,1.66,1.64,1.62,1.6,1.58,1.56,1.54,1.52,1.5,1.48,1.46,1.44
Morocco,F-gases,MtCO₂e,0.48,0.45,0.41,0.4,0.38,0.37,0.36,0.34,0.31,0.29,0.26,0.23,0.21,0.18,0.16,0.13,0.11,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06
Mozambique,F-gases,MtCO₂e,0.8,0.75,0.7,0.67,0.64,0.6,0.57,0.54,0.58,0.61,0.65,0.68,0.72,0.61,0.51,0.41,0.31,0.21,0.17,0.13,0.1,0.06,0.02,0.02,0.01,0.01,0.01,0
Myanmar,F-gases,MtCO₂e,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Namibia,F-gases,MtCO₂e,0.28,0.25,0.23,0.21,0.19,0.17,0.15,0.12,0.11,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0
Nauru,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,F-gases,MtCO₂e,0.07,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01
Netherlands,F-gases,MtCO₂e,2.59,2.77,2.72,2.62,2.83,2.77,2.88,3.07,2.67,2.76,2.72,2.48,2.23,2.36,2.64,4.68,3.62,6.37,7.53,13.37,12.41,12.04,10,10.53,8.92,8.21,7.2,8.45
New Zealand,F-gases,MtCO₂e,1.5,1.45,1.63,1.51,1.49,1.44,1.42,1.22,1.14,1.1,1.02,0.94,0.82,0.78,0.77,0.57,0.39,0.33,0.34,0.26,0.35,0.39,0.22,0.22,0.23,0.48,0.92,0.93
Nicaragua,F-gases,MtCO₂e,0.58,0.53,0.49,0.44,0.4,0.35,0.31,0.26,0.24,0.21,0.19,0.16,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.02,0.02,0.02,0.01,0.01,0.01
Niger,F-gases,MtCO₂e,0.6,0.55,0.49,0.44,0.39,0.35,0.3,0.25,0.23,0.2,0.18,0.15,0.13,0.12,0.12,0.11,0.11,0.1,0.08,0.07,0.05,0.04,0.02,0.02,0.01,0.01,0.01,0
Nigeria,F-gases,MtCO₂e,14.13,12.81,11.48,10.36,9.25,8.13,7.01,5.89,5.32,4.76,4.19,3.62,3.05,2.91,2.77,2.63,2.49,2.35,1.98,1.62,1.25,0.89,0.52,0.43,0.33,0.24,0.15,0.05
North Korea,F-gases,MtCO₂e,2.55,2.43,2.31,2.25,2.19,2.13,2.07,2.01,1.73,1.46,1.18,0.9,0.62,0.55,0.48,0.41,0.34,0.26,0.23,0.21,0.18,0.15,0.12,0.14,0.16,0.18,0.2,0.22
Norway,F-gases,MtCO₂e,1.89,1.83,1.66,1.69,1.6,1.59,1.6,1.53,1.5,1.9,1.87,1.74,1.86,1.87,1.82,2.46,2.71,2.74,2.7,2.6,2.58,2.75,2.89,3,3.25,3.26,5.45,5.99
Oman,F-gases,MtCO₂e,2.43,2.19,1.94,1.77,1.6,1.43,1.25,1.08,0.95,0.83,0.71,0.58,0.46,0.43,0.41,0.38,0.36,0.33,0.28,0.23,0.18,0.13,0.09,0.07,0.06,0.05,0.04,0.03
Pakistan,F-gases,MtCO₂e,9.29,7.68,6.08,5.41,4.75,4.09,3.43,2.76,2.53,2.3,2.07,1.84,1.61,1.5,1.4,1.29,1.18,1.08,0.93,0.77,0.62,0.47,0.32,0.3,0.28,0.25,0.23,0.21
Palau,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,F-gases,MtCO₂e,1.09,1.01,0.92,0.84,0.75,0.67,0.58,0.5,0.45,0.4,0.36,0.31,0.26,0.24,0.23,0.21,0.19,0.17,0.15,0.12,0.1,0.07,0.04,0.04,0.03,0.03,0.02,0.02
Papua New Guinea,F-gases,MtCO₂e,0.23,0.19,0.15,0.14,0.12,0.11,0.09,0.07,0.07,0.06,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Paraguay,F-gases,MtCO₂e,1.49,1.38,1.26,1.14,1.03,0.91,0.79,0.67,0.61,0.54,0.48,0.41,0.34,0.32,0.3,0.28,0.26,0.24,0.2,0.16,0.13,0.09,0.06,0.05,0.04,0.03,0.02,0.02
Peru,F-gases,MtCO₂e,1.15,1.06,0.97,0.9,0.83,0.76,0.69,0.62,0.57,0.52,0.46,0.41,0.36,0.33,0.3,0.27,0.24,0.21,0.18,0.16,0.13,0.1,0.08,0.08,0.08,0.08,0.08,0.08
Philippines,F-gases,MtCO₂e,7.53,6.27,5.01,4.47,3.93,3.39,2.85,2.31,2.1,1.89,1.68,1.47,1.26,1.18,1.1,1.02,0.94,0.86,0.74,0.61,0.49,0.37,0.24,0.22,0.2,0.18,0.17,0.15
Poland,F-gases,MtCO₂e,8.46,9.03,9.05,9.03,8.4,8,7.66,7.04,6.4,6.51,6.21,5.61,4.75,3.94,3.28,2.71,2.12,1.55,0.96,0.76,0.67,0.52,0.34,0.29,0.25,0.21,0.18,0.15
Portugal,F-gases,MtCO₂e,2.86,3.09,2.93,2.78,2.65,2.48,2.32,2.15,1.96,1.76,1.52,1.29,1.11,0.94,0.82,0.69,0.56,0.45,0.37,0.29,0.22,0.16,0.14,0.12,0.1,0.08,0.05,0.03
Qatar,F-gases,MtCO₂e,0.64,0.61,0.59,0.53,0.48,0.42,0.36,0.31,0.27,0.23,0.19,0.16,0.12,0.1,0.09,0.07,0.06,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.03,0.03,0.03
Republic of Congo,F-gases,MtCO₂e,0.55,0.5,0.44,0.4,0.36,0.31,0.27,0.23,0.2,0.18,0.16,0.14,0.12,0.11,0.11,0.1,0.1,0.09,0.08,0.06,0.05,0.03,0.02,0.02,0.01,0.01,0.01,0
Romania,F-gases,MtCO₂e,1.83,1.95,1.7,1.43,1.36,1.26,1.16,1.06,0.98,1,0.73,0.57,0.48,0.46,0.54,1.17,1.49,1.75,2.12,2.31,2.35,2.35,2.36,1.98,1.87,1.8,2.58,2.81
Russia,F-gases,MtCO₂e,28.13,28.58,27.08,28.95,26.14,21.95,15.26,17.55,16.4,23.3,22.53,24.32,26.94,25.82,22.07,27.44,35.04,37.29,33.16,32.64,29.2,26.48,29.96,30.58,33.92,44.34,52,52.76
Rwanda,F-gases,MtCO₂e,0.2,0.18,0.17,0.15,0.13,0.12,0.1,0.08,0.08,0.07,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0,0,0,0
Saint Kitts and Nevis,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,F-gases,MtCO₂e,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samoa,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,F-gases,MtCO₂e,66.33,59.05,51.78,46.46,41.14,35.82,30.5,25.18,22.75,20.32,17.89,15.46,13.03,12.36,11.69,11.01,10.34,9.67,8.21,6.75,5.29,3.83,2.37,1.98,1.59,1.2,0.81,0.41
Senegal,F-gases,MtCO₂e,1.43,1.29,1.16,1.05,0.93,0.82,0.71,0.59,0.54,0.48,0.42,0.36,0.31,0.29,0.28,0.26,0.25,0.24,0.2,0.16,0.13,0.09,0.05,0.04,0.03,0.02,0.01,0.01
Serbia,F-gases,MtCO₂e,0.59,0.63,0.68,0.7,0.72,0.74,0.76,0.79,0.54,0.48,0.42,0.35,0.29,0.28,0.27,0.27,0.26,0.25,0.21,0.17,0.12,0.08,0.04,0.03,0.03,0.02,0.01,0
Seychelles,F-gases,MtCO₂e,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Sierra Leone,F-gases,MtCO₂e,0.14,0.13,0.12,0.11,0.09,0.08,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0,0,0,0,0
Singapore,F-gases,MtCO₂e,5.18,4.94,4.7,4.49,4.27,4.06,3.84,3.63,3.41,3.2,2.98,2.76,2.55,2.34,2.12,1.91,1.7,1.49,1.28,1.07,0.86,0.65,0.44,0.43,0.43,0.43,0.43,0.43
Slovakia,F-gases,MtCO₂e,0.64,0.69,0.76,0.68,0.68,0.68,0.65,0.64,0.57,0.53,0.46,0.43,0.37,0.33,0.28,0.23,0.18,0.14,0.11,0.1,0.1,0.08,0.16,0.17,0.18,0.29,0.31,0.31
Slovenia,F-gases,MtCO₂e,0.38,0.4,0.39,0.37,0.35,0.33,0.31,0.29,0.27,0.26,0.33,0.33,0.31,0.28,0.26,0.23,0.2,0.19,0.18,0.18,0.18,0.17,0.17,0.17,0.16,0.15,0.15,0.22
Solomon Islands,F-gases,MtCO₂e,0.11,0.09,0.07,0.06,0.06,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0
Somalia,F-gases,MtCO₂e,0.26,0.25,0.23,0.22,0.22,0.21,0.21,0.2,0.18,0.16,0.14,0.11,0.09,0.08,0.07,0.06,0.05,0.04,0.1,0.16,0.22,0.28,0.33,0.27,0.2,0.13,0.07,0
South Africa,F-gases,MtCO₂e,15.31,14.39,13.47,13.14,12.8,12.46,12.13,11.79,10.79,9.79,8.78,7.78,6.78,6.24,5.69,5.15,4.6,4.05,3.98,3.9,3.82,3.74,3.66,3.29,2.92,2.55,2.17,1.8
South Korea,F-gases,MtCO₂e,48.79,45.86,42.94,41.78,40.46,39.2,37.79,36.77,33.88,31.95,29.47,26.74,23.94,22.38,20.34,18.51,16.96,15.71,13.6,11.61,9.89,7.04,4.76,3.99,3.22,2.48,1.74,1
South Sudan,F-gases,MtCO₂e,0.09,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0
Spain,F-gases,MtCO₂e,9,9.69,9.92,16.37,16.44,16.36,16.26,16.72,16.54,17.87,16.92,14.78,12.16,10.84,10.6,8.52,9.82,13.19,11.71,9.69,9.52,8.06,7.13,5.6,4.1,4.7,4.01,4.37
Sri Lanka,F-gases,MtCO₂e,1.14,0.95,0.75,0.67,0.58,0.5,0.42,0.34,0.31,0.28,0.25,0.22,0.19,0.18,0.17,0.15,0.14,0.13,0.11,0.09,0.07,0.05,0.04,0.03,0.03,0.03,0.02,0.02
Sudan,F-gases,MtCO₂e,0.88,0.8,0.71,0.64,0.57,0.5,0.43,0.36,0.33,0.29,0.26,0.22,0.19,0.18,0.17,0.16,0.15,0.15,0.12,0.1,0.08,0.05,0.03,0.02,0.02,0.01,0.01,0
Suriname,F-gases,MtCO₂e,0.09,0.08,0.08,0.07,0.06,0.06,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.04,0.05,0.07,0.09,0.11,0.12,0.13,0.15,0.16,0.17
Sweden,F-gases,MtCO₂e,0.92,0.99,1.01,1.06,1.05,1.1,1.25,1.27,1.15,1.45,1.55,1.49,1.53,1.46,1.38,1.36,1.26,1.17,1.15,0.97,0.93,0.79,0.78,0.65,0.57,0.5,0.68,0.68
Switzerland,F-gases,MtCO₂e,1.57,1.53,1.6,1.6,1.58,1.54,1.48,1.42,1.4,1.44,1.38,1.29,1.22,1.15,1.04,0.96,0.87,0.79,0.67,0.61,0.48,0.4,0.32,0.16,0.13,0.16,0.16,0.18
Syria,F-gases,MtCO₂e,2.31,2.2,2.08,2,1.93,1.85,1.77,1.69,1.51,1.33,1.14,0.96,0.78,0.67,0.56,0.45,0.34,0.23,0.22,0.21,0.2,0.19,0.18,0.15,0.12,0.09,0.06,0.04
Tajikistan,F-gases,MtCO₂e,0.37,0.35,0.34,0.36,0.38,0.4,0.42,0.44,0.47,0.49,0.51,0.54,0.56,0.59,0.61,0.64,0.67,0.7,0.73,0.76,0.8,0.83,0.87,0.66,0.49,0.33,0.16,0
Tanzania,F-gases,MtCO₂e,0.69,0.57,0.45,0.4,0.35,0.3,0.25,0.19,0.18,0.16,0.14,0.12,0.1,0.1,0.09,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.02,0.02,0.01,0.01,0.01
Thailand,F-gases,MtCO₂e,46.77,38.54,30.3,26.8,23.29,19.78,16.28,12.77,11.59,10.4,9.21,8.03,6.84,6.47,6.11,5.74,5.37,5,4.24,3.48,2.73,1.97,1.21,1.02,0.83,0.65,0.46,0.27
Timor-Leste,F-gases,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,F-gases,MtCO₂e,0.78,0.7,0.63,0.57,0.51,0.45,0.38,0.32,0.29,0.26,0.23,0.2,0.17,0.16,0.15,0.14,0.14,0.13,0.11,0.09,0.07,0.05,0.03,0.02,0.02,0.01,0.01,0
Tonga,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,F-gases,MtCO₂e,3.22,2.97,2.71,2.46,2.2,1.94,1.69,1.43,1.29,1.15,1.01,0.87,0.73,0.69,0.64,0.59,0.55,0.5,0.42,0.35,0.27,0.19,0.11,0.09,0.07,0.06,0.04,0.02
Tunisia,F-gases,MtCO₂e,1.25,1.12,0.99,0.89,0.79,0.7,0.6,0.51,0.46,0.42,0.38,0.33,0.29,0.27,0.25,0.23,0.21,0.2,0.17,0.14,0.11,0.09,0.06,0.05,0.05,0.04,0.04,0.03
Turkey,F-gases,MtCO₂e,7.17,6.57,6.92,6.83,6.09,5.94,5.18,4.69,3.44,3.52,3.34,2.86,2.59,2.31,1.97,1.7,1.48,1.38,1.32,1.29,1.19,1.12,1.1,1.22,0.94,1.29,1.46,1.24
Turkmenistan,F-gases,MtCO₂e,0.36,0.38,0.41,0.41,0.4,0.4,0.4,0.4,0.36,0.33,0.29,0.25,0.22,0.2,0.19,0.18,0.17,0.15,0.13,0.11,0.09,0.07,0.05,0.02,0.01,0.01,0,0
Tuvalu,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,F-gases,MtCO₂e,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Ukraine,F-gases,MtCO₂e,0.84,0.8,0.76,0.77,0.78,0.79,0.79,0.73,0.68,0.77,0.68,0.49,0.42,0.28,0.19,0.16,0.13,0.12,0.15,0.22,0.29,0.33,0.41,0.47,0.52,0.59,0.69,0.8
United Arab Emirates,F-gases,MtCO₂e,2.73,2.61,2.5,2.36,2.21,2.07,1.93,1.78,1.73,1.67,1.62,1.57,1.51,1.49,1.46,1.44,1.41,1.38,1.32,1.25,1.18,1.12,1.05,1.05,1.06,1.06,1.06,1.07
United Kingdom,F-gases,MtCO₂e,14.91,16.02,16.76,16.84,16.58,16.32,15.95,17.53,16.64,16.23,15.95,15.53,14.83,13.81,14.9,13.69,13.24,12.63,13.71,22.15,25.14,22.33,21.09,19.63,18.56,17.74,17.8,17.44
United States,F-gases,MtCO₂e,165.29,160.92,161.05,159.16,154.04,154.58,159.37,153.08,144.31,149.44,148.45,137.6,135.45,134.13,127.23,137.81,130.28,143.65,142.42,145.82,130.98,124.38,115.29,97.57,94.45,94.74,90.15,99.39
Uruguay,F-gases,MtCO₂e,0.91,0.84,0.77,0.7,0.63,0.56,0.5,0.43,0.39,0.35,0.31,0.27,0.23,0.21,0.2,0.18,0.17,0.15,0.13,0.11,0.09,0.07,0.04,0.04,0.04,0.04,0.04,0.03
Uzbekistan,F-gases,MtCO₂e,1.2,1.14,1.09,1.07,1.05,1.02,1,0.98,0.91,0.83,0.76,0.69,0.62,0.56,0.5,0.43,0.37,0.31,0.29,0.26,0.23,0.21,0.18,0.04,0.03,0.02,0.01,0
Vanuatu,F-gases,MtCO₂e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,F-gases,MtCO₂e,9.3,8.72,8.13,8.01,7.89,7.78,7.66,7.54,6.82,6.1,5.38,4.66,3.94,3.86,3.79,3.72,3.64,3.57,3.84,4.11,4.38,4.65,4.92,5.29,5.66,6.03,6.39,6.76
Vietnam,F-gases,MtCO₂e,5.85,4.87,3.88,3.5,3.11,2.72,2.34,1.95,1.76,1.57,1.38,1.19,1,0.93,0.85,0.78,0.7,0.63,0.53,0.44,0.34,0.25,0.15,0.13,0.11,0.09,0.06,0.04
Yemen,F-gases,MtCO₂e,0.39,0.35,0.31,0.29,0.28,0.26,0.25,0.23,0.21,0.18,0.16,0.14,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.03,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01
Zambia,F-gases,MtCO₂e,0.55,0.5,0.45,0.41,0.37,0.33,0.29,0.25,0.23,0.21,0.19,0.18,0.16,0.15,0.13,0.12,0.11,0.1,0.09,0.08,0.06,0.05,0.04,0.04,0.04,0.04,0.04,0.04
Zimbabwe,F-gases,MtCO₂e,0.73,0.67,0.6,0.55,0.49,0.43,0.38,0.32,0.3,0.28,0.25,0.23,0.21,0.2,0.18,0.17,0.16,0.15,0.13,0.11,0.09,0.07,0.05,0.06,0.06,0.06,0.06,0.07
