Country,Sector,Gas,Unit,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Thailand,Forests & Wetlands,CO2,MtCO₂e,13.78,13.78,13.76,14.22,13.76,13.76,13.76,-0.56,-0.91,-0.91,-0.92,-0.93,4.2,5.68,4.18,4.51,4.17,11.12,11.13,11.27,11.14,11.12,11.27,11.27,11.27,11.27,11.27,11.27
Angola,Forests & Wetlands,CH4,MtCO₂e,13.53,13.53,19.57,14.76,18.94,16.01,23.39,15.77,15.78,14.76,20.3,14.85,21.2,21.57,18.83,17.58,16.21,24.49,27.36,29.76,24.53,26.72,17.69,17.69,17.69,17.69,17.69,17.69
Somalia,Forests & Wetlands,CO2,MtCO₂e,13.2,13.2,13.2,13.2,13.2,13.2,13.2,15.4,15.4,15.4,15.4,15.4,17.6,17.6,17.6,17.6,17.6,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77,15.77
Tanzania,Forests & Wetlands,CH4,MtCO₂e,12.78,12.78,14.73,12.51,12.76,14.21,15.13,15.24,15.89,18.63,19.2,18.02,24.37,20.12,19.51,15.31,21.25,9.78,15.39,17.23,13.63,16.91,16.85,16.85,16.85,16.85,16.85,16.85
Zambia,Forests & Wetlands,N2O,MtCO₂e,11.75,11.75,11.19,10.25,11.03,10.63,10.04,10.3,8.9,10.46,10.04,10.82,13.06,10.98,10.6,10.38,9.87,9.99,9.49,10.44,10.37,11.41,10.64,10.64,10.64,10.64,10.64,10.64
Botswana,Forests & Wetlands,CH4,MtCO₂e,10.82,10.82,24.89,2.39,9.63,2.06,2.03,0.81,1.98,3.49,14.43,4.39,13.63,2.91,16.56,28.01,6.97,10.6,13.43,17.02,14.79,12.24,9.06,9.06,9.06,9.06,9.06,9.06
Myanmar,Forests & Wetlands,CH4,MtCO₂e,10.63,10.63,15.25,15.64,12.68,13.93,7.82,19.9,16.67,8.81,23.01,12.97,13.53,23.94,9.49,4.5,6.64,5.87,9.65,9.35,6.34,6.95,13.46,13.46,13.46,13.46,13.46,13.46
Benin,Forests & Wetlands,CO2,MtCO₂e,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.54,10.53,10.53,10.53,10.53,10.53,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78,14.78
Republic of Congo,Forests & Wetlands,CH4,MtCO₂e,9.62,9.62,8.68,4.18,9.79,8.77,9.7,6.97,5.94,7.53,9.26,9.83,10.2,7.73,5.1,1.63,2.35,0.6,0.78,0.73,0.83,0.8,7.33,7.33,7.33,7.33,7.33,7.33
Venezuela,Forests & Wetlands,CH4,MtCO₂e,9.21,9.21,5.1,3.46,7.05,0.54,0.39,9.47,1.55,2.87,5.87,4.2,2.64,1.35,8.36,0.85,7.77,2.11,1.89,3.54,1.8,1.7,4.42,4.42,4.42,4.42,4.42,4.42
Burkina Faso,Forests & Wetlands,CO2,MtCO₂e,8.8,8.8,8.8,8.8,8.8,8.8,8.8,11,11,11,11,11,8.8,8.8,8.8,8.8,8.8,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63
Bolivia,Forests & Wetlands,CH4,MtCO₂e,8.3,8.3,3.51,2.33,2.19,3.48,8.48,25.46,2.31,5.01,10.66,4.87,9.7,14.08,2.64,6.04,1.95,2.21,9.1,5.2,5.24,4.92,6.94,6.94,6.94,6.94,6.94,6.94
Ghana,Forests & Wetlands,CO2,MtCO₂e,8.2,8.2,8.2,8.2,8.33,8.2,8.21,-7.2,-7.2,-7.2,-7.19,-7.19,37.51,37.51,37.51,37.51,37.51,20.43,20.43,20.43,20.43,20.43,20.44,20.44,20.44,20.44,20.44,20.44
Panama,Forests & Wetlands,CO2,MtCO₂e,8.18,8.18,8.4,8.18,8.29,8.28,8.18,8.18,8.18,8.18,8.28,8.32,8.95,8.98,8.96,9.1,8.96,8.55,8.55,8.55,8.55,8.55,8.61,8.61,8.61,8.61,8.61,8.61
