IEA Region,Technology,Scenario,Sector,Metric,Value
 OECD ,Oil,pathway,Heat,Floor,0
 OECD ,Oil,baseline,Transport,Floor,0
 OECD ,Oil,pathway,Transport,Floor,0
NAM ,Oil,baseline,Electricity,Floor,0
NAM ,Oil,pathway,Electricity,Floor,0
NAM ,Oil,baseline,Heat,Floor,0
NAM ,Oil,pathway,Heat,Floor,0
NAM ,Oil,baseline,Transport,Floor,0
NAM ,Oil,pathway,Transport,Floor,0
US ,Oil,baseline,Electricity,Floor,0
US ,Oil,pathway,Electricity,Floor,0
US ,Oil,baseline,Heat,Floor,0
US ,Oil,pathway,Heat,Floor,0
US ,Oil,baseline,Transport,Floor,0
US ,Oil,pathway,Transport,Floor,0
EUR ,Oil,baseline,Electricity,Floor,0
EUR ,Oil,pathway,Electricity,Floor,0
EUR ,Oil,baseline,Heat,Floor,0
EUR ,Oil,pathway,Heat,Floor,0
EUR ,Oil,baseline,Transport,Floor,0
EUR ,Oil,pathway,Transport,Floor,0
EU ,Oil,baseline,Electricity,Floor,0
EU ,Oil,pathway,Electricity,Floor,0
EU ,Oil,baseline,Heat,Floor,0
EU ,Oil,pathway,Heat,Floor,0
EU ,Oil,baseline,Transport,Floor,0
EU ,Oil,pathway,Transport,Floor,0
SAFR ,Oil,baseline,Electricity,Floor,0
SAFR ,Oil,pathway,Electricity,Floor,0
SAFR ,Oil,baseline,Heat,Floor,0
SAFR ,Oil,pathway,Heat,Floor,0
SAFR ,Oil,baseline,Transport,Floor,0
SAFR ,Oil,pathway,Transport,Floor,0
JPN ,Oil,baseline,Electricity,Floor,0
JPN ,Oil,pathway,Electricity,Floor,0
JPN ,Oil,baseline,Heat,Floor,0
JPN ,Oil,pathway,Heat,Floor,0
JPN ,Oil,baseline,Transport,Floor,0
JPN ,Oil,pathway,Transport,Floor,0
AdvancedECO ,Oil,baseline,Electricity,Floor,0
AdvancedECO ,Oil,pathway,Electricity,Floor,0
AdvancedECO ,Oil,baseline,Heat,Floor,0
AdvancedECO ,Oil,pathway,Heat,Floor,0
AdvancedECO ,Oil,baseline,Transport,Floor,0
AdvancedECO ,Oil,pathway,Transport,Floor,0
NonOECD ,Oil,baseline,Electricity,Floor,0
NonOECD ,Oil,pathway,Electricity,Floor,0
NonOECD ,Oil,baseline,Heat,Floor,0
NonOECD ,Oil,pathway,Heat,Floor,0
NonOECD ,Oil,baseline,Transport,Floor,0
NonOECD ,Oil,pathway,Transport,Floor,0
World ,Oil,baseline,Electricity,Floor,0
World ,Oil,pathway,Electricity,Floor,0
World ,Oil,baseline,Heat,Floor,0
World ,Oil,pathway,Heat,Floor,0
World ,Oil,baseline,Transport,Floor,0
World ,Oil,pathway,Transport,Floor,0
CSAM ,Oil,baseline,Electricity,Floor,0
CSAM ,Oil,pathway,Electricity,Floor,0
CSAM ,Oil,baseline,Heat,Floor,0
CSAM ,Oil,pathway,Heat,Floor,0
CSAM ,Oil,baseline,Transport,Floor,0
CSAM ,Oil,pathway,Transport,Floor,0
BRAZIL ,Oil,baseline,Electricity,Floor,0
BRAZIL ,Oil,pathway,Electricity,Floor,0
BRAZIL ,Oil,baseline,Heat,Floor,0
BRAZIL ,Oil,pathway,Heat,Floor,0
BRAZIL ,Oil,baseline,Transport,Floor,0
BRAZIL ,Oil,pathway,Transport,Floor,0
AFRICA ,Oil,baseline,Electricity,Floor,0
AFRICA ,Oil,pathway,Electricity,Floor,0
AFRICA ,Oil,baseline,Heat,Floor,0
AFRICA ,Oil,pathway,Heat,Floor,0
AFRICA ,Oil,baseline,Transport,Floor,0
AFRICA ,Oil,pathway,Transport,Floor,0
ME ,Oil,baseline,Electricity,Floor,0
ME ,Oil,pathway,Electricity,Floor,0
ME ,Oil,baseline,Heat,Floor,0
ME ,Oil,pathway,Heat,Floor,0
ME ,Oil,baseline,Transport,Floor,0
ME ,Oil,pathway,Transport,Floor,0
EURASIA ,Oil,baseline,Electricity,Floor,0
EURASIA ,Oil,pathway,Electricity,Floor,0
EURASIA ,Oil,baseline,Heat,Floor,0
EURASIA ,Oil,pathway,Heat,Floor,0
EURASIA ,Oil,baseline,Transport,Floor,0
EURASIA ,Oil,pathway,Transport,Floor,0
RUS ,Oil,baseline,Electricity,Floor,0
RUS ,Oil,pathway,Electricity,Floor,0
RUS ,Oil,baseline,Heat,Floor,0
RUS ,Oil,pathway,Heat,Floor,0
RUS ,Oil,baseline,Transport,Floor,0
RUS ,Oil,pathway,Transport,Floor,0
ASIAPAC ,Oil,baseline,Electricity,Floor,0
ASIAPAC ,Oil,pathway,Electricity,Floor,0
ASIAPAC ,Oil,baseline,Heat,Floor,0
ASIAPAC ,Oil,pathway,Heat,Floor,0
ASIAPAC ,Oil,baseline,Transport,Floor,0
ASIAPAC ,Oil,pathway,Transport,Floor,0
CHINA ,Oil,baseline,Electricity,Floor,0
CHINA ,Oil,pathway,Electricity,Floor,0
CHINA ,Oil,baseline,Heat,Floor,0
CHINA ,Oil,pathway,Heat,Floor,0
CHINA ,Oil,baseline,Transport,Floor,0
CHINA ,Oil,pathway,Transport,Floor,0
INDIA ,Oil,baseline,Electricity,Floor,0
INDIA ,Oil,pathway,Electricity,Floor,0
INDIA ,Oil,baseline,Heat,Floor,0
INDIA ,Oil,pathway,Heat,Floor,0
INDIA ,Oil,baseline,Transport,Floor,0
INDIA ,Oil,pathway,Transport,Floor,0
ASEAN ,Oil,baseline,Electricity,Floor,0
ASEAN ,Oil,pathway,Electricity,Floor,0
ASEAN ,Oil,baseline,Heat,Floor,0
ASEAN ,Oil,pathway,Heat,Floor,0
ASEAN ,Oil,baseline,Transport,Floor,0
ASEAN ,Oil,pathway,Transport,Floor,0
DevelopingECO ,Oil,baseline,Electricity,Floor,0
DevelopingECO ,Oil,pathway,Electricity,Floor,0
DevelopingECO ,Oil,baseline,Heat,Floor,0
DevelopingECO ,Oil,pathway,Heat,Floor,0
DevelopingECO ,Oil,baseline,Transport,Floor,0
DevelopingECO ,Oil,pathway,Transport,Floor,0
 OECD ,Oil,baseline,Electricity,Max annual growth,100
 OECD ,Oil,pathway,Electricity,Max annual growth,100
 OECD ,Oil,baseline,Heat,Max annual growth,100
 OECD ,Oil,pathway,Heat,Max annual growth,100
 OECD ,Oil,baseline,Transport,Max annual growth,100
 OECD ,Oil,pathway,Transport,Max annual growth,100
NAM ,Oil,baseline,Electricity,Max annual growth,100
NAM ,Oil,pathway,Electricity,Max annual growth,100
NAM ,Oil,baseline,Heat,Max annual growth,100
NAM ,Oil,pathway,Heat,Max annual growth,100
NAM ,Oil,baseline,Transport,Max annual growth,100
NAM ,Oil,pathway,Transport,Max annual growth,100
US ,Oil,baseline,Electricity,Max annual growth,100
US ,Oil,pathway,Electricity,Max annual growth,100
US ,Oil,baseline,Heat,Max annual growth,100
US ,Oil,pathway,Heat,Max annual growth,100
US ,Oil,baseline,Transport,Max annual growth,100
US ,Oil,pathway,Transport,Max annual growth,100
EUR ,Oil,baseline,Electricity,Max annual growth,100
EUR ,Oil,pathway,Electricity,Max annual growth,100
EUR ,Oil,baseline,Heat,Max annual growth,100
EUR ,Oil,pathway,Heat,Max annual growth,100
EUR ,Oil,baseline,Transport,Max annual growth,100
EUR ,Oil,pathway,Transport,Max annual growth,100
EU ,Oil,baseline,Electricity,Max annual growth,100
EU ,Oil,pathway,Electricity,Max annual growth,100
EU ,Oil,baseline,Heat,Max annual growth,100
EU ,Oil,pathway,Heat,Max annual growth,100
EU ,Oil,baseline,Transport,Max annual growth,100
EU ,Oil,pathway,Transport,Max annual growth,100
SAFR ,Oil,baseline,Electricity,Max annual growth,100
SAFR ,Oil,pathway,Electricity,Max annual growth,100
SAFR ,Oil,baseline,Heat,Max annual growth,100
SAFR ,Oil,pathway,Heat,Max annual growth,100
SAFR ,Oil,baseline,Transport,Max annual growth,100
SAFR ,Oil,pathway,Transport,Max annual growth,100
JPN ,Oil,baseline,Electricity,Max annual growth,100
JPN ,Oil,pathway,Electricity,Max annual growth,100
JPN ,Oil,baseline,Heat,Max annual growth,100
JPN ,Oil,pathway,Heat,Max annual growth,100
JPN ,Oil,baseline,Transport,Max annual growth,100
JPN ,Oil,pathway,Transport,Max annual growth,100
AdvancedECO ,Oil,baseline,Electricity,Max annual growth,100
AdvancedECO ,Oil,pathway,Electricity,Max annual growth,100
AdvancedECO ,Oil,baseline,Heat,Max annual growth,100
AdvancedECO ,Oil,pathway,Heat,Max annual growth,100
AdvancedECO ,Oil,baseline,Transport,Max annual growth,100
AdvancedECO ,Oil,pathway,Transport,Max annual growth,100
NonOECD ,Oil,baseline,Electricity,Max annual growth,100
NonOECD ,Oil,pathway,Electricity,Max annual growth,100
NonOECD ,Oil,baseline,Heat,Max annual growth,100
NonOECD ,Oil,pathway,Heat,Max annual growth,100
NonOECD ,Oil,baseline,Transport,Max annual growth,100
NonOECD ,Oil,pathway,Transport,Max annual growth,100
World ,Oil,baseline,Electricity,Max annual growth,100
World ,Oil,pathway,Electricity,Max annual growth,100
World ,Oil,baseline,Heat,Max annual growth,100
World ,Oil,pathway,Heat,Max annual growth,100
World ,Oil,baseline,Transport,Max annual growth,100
World ,Oil,pathway,Transport,Max annual growth,100
CSAM ,Oil,baseline,Electricity,Max annual growth,100
CSAM ,Oil,pathway,Electricity,Max annual growth,100
CSAM ,Oil,baseline,Heat,Max annual growth,100
CSAM ,Oil,pathway,Heat,Max annual growth,100
CSAM ,Oil,baseline,Transport,Max annual growth,100
CSAM ,Oil,pathway,Transport,Max annual growth,100
BRAZIL ,Oil,baseline,Electricity,Max annual growth,100
BRAZIL ,Oil,pathway,Electricity,Max annual growth,100
BRAZIL ,Oil,baseline,Heat,Max annual growth,100
BRAZIL ,Oil,pathway,Heat,Max annual growth,100
BRAZIL ,Oil,baseline,Transport,Max annual growth,100
BRAZIL ,Oil,pathway,Transport,Max annual growth,100
AFRICA ,Oil,baseline,Electricity,Max annual growth,100
AFRICA ,Oil,pathway,Electricity,Max annual growth,100
AFRICA ,Oil,baseline,Heat,Max annual growth,100
AFRICA ,Oil,pathway,Heat,Max annual growth,100
AFRICA ,Oil,baseline,Transport,Max annual growth,100
AFRICA ,Oil,pathway,Transport,Max annual growth,100
ME ,Oil,baseline,Electricity,Max annual growth,100
ME ,Oil,pathway,Electricity,Max annual growth,100
ME ,Oil,baseline,Heat,Max annual growth,100
ME ,Oil,pathway,Heat,Max annual growth,100
ME ,Oil,baseline,Transport,Max annual growth,100
ME ,Oil,pathway,Transport,Max annual growth,100
EURASIA ,Oil,baseline,Electricity,Max annual growth,100
EURASIA ,Oil,pathway,Electricity,Max annual growth,100
EURASIA ,Oil,baseline,Heat,Max annual growth,100
EURASIA ,Oil,pathway,Heat,Max annual growth,100
EURASIA ,Oil,baseline,Transport,Max annual growth,100
EURASIA ,Oil,pathway,Transport,Max annual growth,100
RUS ,Oil,baseline,Electricity,Max annual growth,100
RUS ,Oil,pathway,Electricity,Max annual growth,100
RUS ,Oil,baseline,Heat,Max annual growth,100
RUS ,Oil,pathway,Heat,Max annual growth,100
RUS ,Oil,baseline,Transport,Max annual growth,100
RUS ,Oil,pathway,Transport,Max annual growth,100
ASIAPAC ,Oil,baseline,Electricity,Max annual growth,100
ASIAPAC ,Oil,pathway,Electricity,Max annual growth,100
ASIAPAC ,Oil,baseline,Heat,Max annual growth,100
ASIAPAC ,Oil,pathway,Heat,Max annual growth,100
ASIAPAC ,Oil,baseline,Transport,Max annual growth,100
ASIAPAC ,Oil,pathway,Transport,Max annual growth,100
CHINA ,Oil,baseline,Electricity,Max annual growth,100
CHINA ,Oil,pathway,Electricity,Max annual growth,100
CHINA ,Oil,baseline,Heat,Max annual growth,100
CHINA ,Oil,pathway,Heat,Max annual growth,100
CHINA ,Oil,baseline,Transport,Max annual growth,100
CHINA ,Oil,pathway,Transport,Max annual growth,100
INDIA ,Oil,baseline,Electricity,Max annual growth,100
INDIA ,Oil,pathway,Electricity,Max annual growth,100
INDIA ,Oil,baseline,Heat,Max annual growth,100
INDIA ,Oil,pathway,Heat,Max annual growth,100
INDIA ,Oil,baseline,Transport,Max annual growth,100
INDIA ,Oil,pathway,Transport,Max annual growth,100
ASEAN ,Oil,baseline,Electricity,Max annual growth,100
ASEAN ,Oil,pathway,Electricity,Max annual growth,100
ASEAN ,Oil,baseline,Heat,Max annual growth,100
ASEAN ,Oil,pathway,Heat,Max annual growth,100
ASEAN ,Oil,baseline,Transport,Max annual growth,100
ASEAN ,Oil,pathway,Transport,Max annual growth,100
DevelopingECO ,Oil,baseline,Electricity,Max annual growth,100
DevelopingECO ,Oil,pathway,Electricity,Max annual growth,100
DevelopingECO ,Oil,baseline,Heat,Max annual growth,100
DevelopingECO ,Oil,pathway,Heat,Max annual growth,100
DevelopingECO ,Oil,baseline,Transport,Max annual growth,100
DevelopingECO ,Oil,pathway,Transport,Max annual growth,100
 OECD ,Oil,baseline,Electricity,"Parameter a, max",100
 OECD ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
 OECD ,Oil,baseline,Heat,"Parameter a, max",100
 OECD ,Oil,pathway,Heat,"Parameter a, max",-0.01
 OECD ,Oil,baseline,Transport,"Parameter a, max",100
 OECD ,Oil,pathway,Transport,"Parameter a, max",-0.08
NAM ,Oil,baseline,Electricity,"Parameter a, max",100
NAM ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
NAM ,Oil,baseline,Heat,"Parameter a, max",100
NAM ,Oil,pathway,Heat,"Parameter a, max",-0.01
NAM ,Oil,baseline,Transport,"Parameter a, max",100
NAM ,Oil,pathway,Transport,"Parameter a, max",-0.08
US ,Oil,baseline,Electricity,"Parameter a, max",100
US ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
US ,Oil,baseline,Heat,"Parameter a, max",100
US ,Oil,pathway,Heat,"Parameter a, max",-0.01
US ,Oil,baseline,Transport,"Parameter a, max",100
US ,Oil,pathway,Transport,"Parameter a, max",-0.08
EUR ,Oil,baseline,Electricity,"Parameter a, max",100
EUR ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
EUR ,Oil,baseline,Heat,"Parameter a, max",100
EUR ,Oil,pathway,Heat,"Parameter a, max",-0.01
EUR ,Oil,baseline,Transport,"Parameter a, max",100
EUR ,Oil,pathway,Transport,"Parameter a, max",-0.08
EU ,Oil,baseline,Electricity,"Parameter a, max",100
EU ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
EU ,Oil,baseline,Heat,"Parameter a, max",100
EU ,Oil,pathway,Heat,"Parameter a, max",-0.01
EU ,Oil,baseline,Transport,"Parameter a, max",100
EU ,Oil,pathway,Transport,"Parameter a, max",-0.08
SAFR ,Oil,baseline,Electricity,"Parameter a, max",100
SAFR ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
SAFR ,Oil,baseline,Heat,"Parameter a, max",100
SAFR ,Oil,pathway,Heat,"Parameter a, max",-0.01
SAFR ,Oil,baseline,Transport,"Parameter a, max",100
SAFR ,Oil,pathway,Transport,"Parameter a, max",-0.08
JPN ,Oil,baseline,Electricity,"Parameter a, max",100
JPN ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
JPN ,Oil,baseline,Heat,"Parameter a, max",100
JPN ,Oil,pathway,Heat,"Parameter a, max",-0.01
JPN ,Oil,baseline,Transport,"Parameter a, max",100
JPN ,Oil,pathway,Transport,"Parameter a, max",-0.08
AdvancedECO ,Oil,baseline,Electricity,"Parameter a, max",100
AdvancedECO ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
AdvancedECO ,Oil,baseline,Heat,"Parameter a, max",100
AdvancedECO ,Oil,pathway,Heat,"Parameter a, max",-0.01
AdvancedECO ,Oil,baseline,Transport,"Parameter a, max",100
AdvancedECO ,Oil,pathway,Transport,"Parameter a, max",-0.08
NonOECD ,Oil,baseline,Electricity,"Parameter a, max",100
NonOECD ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
NonOECD ,Oil,baseline,Heat,"Parameter a, max",100
NonOECD ,Oil,pathway,Heat,"Parameter a, max",-0.01
NonOECD ,Oil,baseline,Transport,"Parameter a, max",100
NonOECD ,Oil,pathway,Transport,"Parameter a, max",-0.09
World ,Oil,baseline,Electricity,"Parameter a, max",100
World ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
World ,Oil,baseline,Heat,"Parameter a, max",100
World ,Oil,pathway,Heat,"Parameter a, max",-0.01
World ,Oil,baseline,Transport,"Parameter a, max",100
World ,Oil,pathway,Transport,"Parameter a, max",-0.09
CSAM ,Oil,baseline,Electricity,"Parameter a, max",100
CSAM ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
CSAM ,Oil,baseline,Heat,"Parameter a, max",100
CSAM ,Oil,pathway,Heat,"Parameter a, max",-0.01
CSAM ,Oil,baseline,Transport,"Parameter a, max",100
CSAM ,Oil,pathway,Transport,"Parameter a, max",-0.11
BRAZIL ,Oil,baseline,Electricity,"Parameter a, max",100
BRAZIL ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
BRAZIL ,Oil,baseline,Heat,"Parameter a, max",100
BRAZIL ,Oil,pathway,Heat,"Parameter a, max",-0.01
BRAZIL ,Oil,baseline,Transport,"Parameter a, max",100
BRAZIL ,Oil,pathway,Transport,"Parameter a, max",-0.09
AFRICA ,Oil,baseline,Electricity,"Parameter a, max",100
AFRICA ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
AFRICA ,Oil,baseline,Heat,"Parameter a, max",100
AFRICA ,Oil,pathway,Heat,"Parameter a, max",-0.01
AFRICA ,Oil,baseline,Transport,"Parameter a, max",100
AFRICA ,Oil,pathway,Transport,"Parameter a, max",-0.09
ME ,Oil,baseline,Electricity,"Parameter a, max",100
ME ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
ME ,Oil,baseline,Heat,"Parameter a, max",100
ME ,Oil,pathway,Heat,"Parameter a, max",-0.01
ME ,Oil,baseline,Transport,"Parameter a, max",100
ME ,Oil,pathway,Transport,"Parameter a, max",-0.09
EURASIA ,Oil,baseline,Electricity,"Parameter a, max",100
EURASIA ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
EURASIA ,Oil,baseline,Heat,"Parameter a, max",100
EURASIA ,Oil,pathway,Heat,"Parameter a, max",-0.01
EURASIA ,Oil,baseline,Transport,"Parameter a, max",100
EURASIA ,Oil,pathway,Transport,"Parameter a, max",-0.09
RUS ,Oil,baseline,Electricity,"Parameter a, max",100
RUS ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
RUS ,Oil,baseline,Heat,"Parameter a, max",100
RUS ,Oil,pathway,Heat,"Parameter a, max",-0.01
RUS ,Oil,baseline,Transport,"Parameter a, max",100
RUS ,Oil,pathway,Transport,"Parameter a, max",-0.09
ASIAPAC ,Oil,baseline,Electricity,"Parameter a, max",100
ASIAPAC ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
ASIAPAC ,Oil,baseline,Heat,"Parameter a, max",100
ASIAPAC ,Oil,pathway,Heat,"Parameter a, max",-0.01
ASIAPAC ,Oil,baseline,Transport,"Parameter a, max",100
ASIAPAC ,Oil,pathway,Transport,"Parameter a, max",-0.09
CHINA ,Oil,baseline,Electricity,"Parameter a, max",100
CHINA ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
CHINA ,Oil,baseline,Heat,"Parameter a, max",100
CHINA ,Oil,pathway,Heat,"Parameter a, max",-0.01
CHINA ,Oil,baseline,Transport,"Parameter a, max",100
CHINA ,Oil,pathway,Transport,"Parameter a, max",-0.09
INDIA ,Oil,baseline,Electricity,"Parameter a, max",100
INDIA ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
INDIA ,Oil,baseline,Heat,"Parameter a, max",100
INDIA ,Oil,pathway,Heat,"Parameter a, max",-0.01
INDIA ,Oil,baseline,Transport,"Parameter a, max",100
INDIA ,Oil,pathway,Transport,"Parameter a, max",-0.09
ASEAN ,Oil,baseline,Electricity,"Parameter a, max",100
ASEAN ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
ASEAN ,Oil,baseline,Heat,"Parameter a, max",100
ASEAN ,Oil,pathway,Heat,"Parameter a, max",-0.01
ASEAN ,Oil,baseline,Transport,"Parameter a, max",100
ASEAN ,Oil,pathway,Transport,"Parameter a, max",-0.09
DevelopingECO ,Oil,baseline,Electricity,"Parameter a, max",100
DevelopingECO ,Oil,pathway,Electricity,"Parameter a, max",-0.1074
DevelopingECO ,Oil,baseline,Heat,"Parameter a, max",100
DevelopingECO ,Oil,pathway,Heat,"Parameter a, max",-0.01
DevelopingECO ,Oil,baseline,Transport,"Parameter a, max",100
DevelopingECO ,Oil,pathway,Transport,"Parameter a, max",-0.09
 OECD ,Oil,baseline,Electricity,"Parameter a, min",100
 OECD ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
 OECD ,Oil,baseline,Heat,"Parameter a, min",100
 OECD ,Oil,pathway,Heat,"Parameter a, min",-0.2
 OECD ,Oil,baseline,Transport,"Parameter a, min",100
 OECD ,Oil,pathway,Transport,"Parameter a, min",-0.2
NAM ,Oil,baseline,Electricity,"Parameter a, min",100
NAM ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
NAM ,Oil,baseline,Heat,"Parameter a, min",100
NAM ,Oil,pathway,Heat,"Parameter a, min",-0.2
NAM ,Oil,baseline,Transport,"Parameter a, min",100
NAM ,Oil,pathway,Transport,"Parameter a, min",-0.2
US ,Oil,baseline,Electricity,"Parameter a, min",100
US ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
US ,Oil,baseline,Heat,"Parameter a, min",100
US ,Oil,pathway,Heat,"Parameter a, min",-0.2
US ,Oil,baseline,Transport,"Parameter a, min",100
US ,Oil,pathway,Transport,"Parameter a, min",-0.2
EUR ,Oil,baseline,Electricity,"Parameter a, min",100
EUR ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
EUR ,Oil,baseline,Heat,"Parameter a, min",100
EUR ,Oil,pathway,Heat,"Parameter a, min",-0.2
EUR ,Oil,baseline,Transport,"Parameter a, min",100
EUR ,Oil,pathway,Transport,"Parameter a, min",-0.2
EU ,Oil,baseline,Electricity,"Parameter a, min",100
EU ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
EU ,Oil,baseline,Heat,"Parameter a, min",100
EU ,Oil,pathway,Heat,"Parameter a, min",-0.2
EU ,Oil,baseline,Transport,"Parameter a, min",100
EU ,Oil,pathway,Transport,"Parameter a, min",-0.2
SAFR ,Oil,baseline,Electricity,"Parameter a, min",100
SAFR ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
SAFR ,Oil,baseline,Heat,"Parameter a, min",100
SAFR ,Oil,pathway,Heat,"Parameter a, min",-0.2
SAFR ,Oil,baseline,Transport,"Parameter a, min",100
SAFR ,Oil,pathway,Transport,"Parameter a, min",-0.2
JPN ,Oil,baseline,Electricity,"Parameter a, min",100
JPN ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
JPN ,Oil,baseline,Heat,"Parameter a, min",100
JPN ,Oil,pathway,Heat,"Parameter a, min",-0.2
JPN ,Oil,baseline,Transport,"Parameter a, min",100
JPN ,Oil,pathway,Transport,"Parameter a, min",-0.2
AdvancedECO ,Oil,baseline,Electricity,"Parameter a, min",100
AdvancedECO ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
AdvancedECO ,Oil,baseline,Heat,"Parameter a, min",100
AdvancedECO ,Oil,pathway,Heat,"Parameter a, min",-0.2
AdvancedECO ,Oil,baseline,Transport,"Parameter a, min",100
AdvancedECO ,Oil,pathway,Transport,"Parameter a, min",-0.2
NonOECD ,Oil,baseline,Electricity,"Parameter a, min",100
NonOECD ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
NonOECD ,Oil,baseline,Heat,"Parameter a, min",100
NonOECD ,Oil,pathway,Heat,"Parameter a, min",-0.2
NonOECD ,Oil,baseline,Transport,"Parameter a, min",100
NonOECD ,Oil,pathway,Transport,"Parameter a, min",-0.09
World ,Oil,baseline,Electricity,"Parameter a, min",100
World ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
World ,Oil,baseline,Heat,"Parameter a, min",100
World ,Oil,pathway,Heat,"Parameter a, min",-0.2
World ,Oil,baseline,Transport,"Parameter a, min",100
World ,Oil,pathway,Transport,"Parameter a, min",-0.09
CSAM ,Oil,baseline,Electricity,"Parameter a, min",100
CSAM ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
CSAM ,Oil,baseline,Heat,"Parameter a, min",100
CSAM ,Oil,pathway,Heat,"Parameter a, min",-0.2
CSAM ,Oil,baseline,Transport,"Parameter a, min",100
CSAM ,Oil,pathway,Transport,"Parameter a, min",-0.11
BRAZIL ,Oil,baseline,Electricity,"Parameter a, min",100
BRAZIL ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
BRAZIL ,Oil,baseline,Heat,"Parameter a, min",100
BRAZIL ,Oil,pathway,Heat,"Parameter a, min",-0.2
BRAZIL ,Oil,baseline,Transport,"Parameter a, min",100
BRAZIL ,Oil,pathway,Transport,"Parameter a, min",-0.09
AFRICA ,Oil,baseline,Electricity,"Parameter a, min",100
AFRICA ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
AFRICA ,Oil,baseline,Heat,"Parameter a, min",100
AFRICA ,Oil,pathway,Heat,"Parameter a, min",-0.2
AFRICA ,Oil,baseline,Transport,"Parameter a, min",100
AFRICA ,Oil,pathway,Transport,"Parameter a, min",-0.09
ME ,Oil,baseline,Electricity,"Parameter a, min",100
ME ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
ME ,Oil,baseline,Heat,"Parameter a, min",100
ME ,Oil,pathway,Heat,"Parameter a, min",-0.2
ME ,Oil,baseline,Transport,"Parameter a, min",100
ME ,Oil,pathway,Transport,"Parameter a, min",-0.09
EURASIA ,Oil,baseline,Electricity,"Parameter a, min",100
EURASIA ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
EURASIA ,Oil,baseline,Heat,"Parameter a, min",100
EURASIA ,Oil,pathway,Heat,"Parameter a, min",-0.2
EURASIA ,Oil,baseline,Transport,"Parameter a, min",100
EURASIA ,Oil,pathway,Transport,"Parameter a, min",-0.09
RUS ,Oil,baseline,Electricity,"Parameter a, min",100
RUS ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
RUS ,Oil,baseline,Heat,"Parameter a, min",100
RUS ,Oil,pathway,Heat,"Parameter a, min",-0.2
RUS ,Oil,baseline,Transport,"Parameter a, min",100
RUS ,Oil,pathway,Transport,"Parameter a, min",-0.09
ASIAPAC ,Oil,baseline,Electricity,"Parameter a, min",100
ASIAPAC ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
ASIAPAC ,Oil,baseline,Heat,"Parameter a, min",100
ASIAPAC ,Oil,pathway,Heat,"Parameter a, min",-0.2
ASIAPAC ,Oil,baseline,Transport,"Parameter a, min",100
ASIAPAC ,Oil,pathway,Transport,"Parameter a, min",-0.09
CHINA ,Oil,baseline,Electricity,"Parameter a, min",100
CHINA ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
CHINA ,Oil,baseline,Heat,"Parameter a, min",100
CHINA ,Oil,pathway,Heat,"Parameter a, min",-0.2
CHINA ,Oil,baseline,Transport,"Parameter a, min",100
CHINA ,Oil,pathway,Transport,"Parameter a, min",-0.09
INDIA ,Oil,baseline,Electricity,"Parameter a, min",100
INDIA ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
INDIA ,Oil,baseline,Heat,"Parameter a, min",100
INDIA ,Oil,pathway,Heat,"Parameter a, min",-0.2
INDIA ,Oil,baseline,Transport,"Parameter a, min",100
INDIA ,Oil,pathway,Transport,"Parameter a, min",-0.09
ASEAN ,Oil,baseline,Electricity,"Parameter a, min",100
ASEAN ,Oil,pathway,Electricity,"Parameter a, min",-0.1074
ASEAN ,Oil,baseline,Heat,"Parameter a, min",100
